archive_path	file_stem	resolved_isolate_id	resolution_method	matches_wgs
csv_median/720003_18_A9.csv	720003_18_A9	720003-18	numeric_tgnr	True
csv_median/720660_18_G10.csv	720660_18_G10	720660-18	numeric_tgnr	True
csv_median/720606_18_E12.csv	720606_18_E12	720606-18	numeric_tgnr	True
csv_median/611445_18_C3.csv	611445_18_C3	611445-18	numeric_tgnr	True
csv_median/116961_18_G2.csv	116961_18_G2	116961-18	numeric_tgnr	True
csv_median/721440_18_B4.csv	721440_18_B4	721440-18	numeric_tgnr	True
csv_median/721553_18_D12.csv	721553_18_D12	721553-18	numeric_tgnr	True
csv_median/145816_18_B2_1.csv	145816_18_B2_1	145816-18	numeric_tgnr	True
csv_median/721995_18_E12.csv	721995_18_E12	721995-18	numeric_tgnr	True
csv_median/127083_18_C2.csv	127083_18_C2	127083-18	numeric_tgnr	True
csv_median/722046_18_C12.csv	722046_18_C12	722046-18	numeric_tgnr	True
csv_median/132090_18_C3.csv	132090_18_C3	132090-18	numeric_tgnr	True
csv_median/708938_18_G3.csv	708938_18_G3	708938-18	numeric_tgnr	True
csv_median/708294_18_E11.csv	708294_18_E11	708294-18	numeric_tgnr	True
csv_median/721773_18_A6.csv	721773_18_A6	721773-18	numeric_tgnr	True
csv_median/707690_18_C8.csv	707690_18_C8	707690-18	numeric_tgnr	True
csv_median/721669_18_A6.csv	721669_18_A6	721669-18	numeric_tgnr	True
csv_median/139865_18_D11.csv	139865_18_D11	139865-18	numeric_tgnr	True
csv_median/721440_18_B3.csv	721440_18_B3	721440-18	numeric_tgnr	True
csv_median/104977_19_H8.csv	104977_19_H8	104977-19	numeric_tgnr	True
csv_median/720989_18_E7.csv	720989_18_E7	720989-18	numeric_tgnr	True
csv_median/133117_18_F7.csv	133117_18_F7	133117-18	numeric_tgnr	True
csv_median/123429_18_G9.csv	123429_18_G9	123429-18	numeric_tgnr	True
csv_median/721189_18_F2.csv	721189_18_F2	721189-18	numeric_tgnr	True
csv_median/720239_18_D7.csv	720239_18_D7	720239-18	numeric_tgnr	True
csv_median/721001_18_H4.csv	721001_18_H4	721001-18	numeric_tgnr	True
csv_median/130059_18_G5.csv	130059_18_G5	130059-18	numeric_tgnr	True
csv_median/708331_18_C4.csv	708331_18_C4	708331-18	numeric_tgnr	True
csv_median/721600_18_B1.csv	721600_18_B1	721600-18	numeric_tgnr	True
csv_median/721258_18_A5.csv	721258_18_A5	721258-18	numeric_tgnr	True
csv_median/719554_18_G3.csv	719554_18_G3	719554-18	numeric_tgnr	True
csv_median/721640_18_B8.csv	721640_18_B8	721640-18	numeric_tgnr	True
csv_median/102689_19_C11.csv	102689_19_C11	102689-19	numeric_tgnr	True
csv_median/720950_18_C8.csv	720950_18_C8	720950-18	numeric_tgnr	True
csv_median/ce1b6f48_9a71_4f7a_8097_c0ffbf11b4f0_G1.csv	ce1b6f48_9a71_4f7a_8097_c0ffbf11b4f0_G1	129347-18	uuid_mapped	True
csv_median/721483_18_A5.csv	721483_18_A5	721483-18	numeric_tgnr	True
csv_median/720635_18_A9.csv	720635_18_A9	720635-18	numeric_tgnr	True
csv_median/721669_18_A8.csv	721669_18_A8	721669-18	numeric_tgnr	True
csv_median/720012_18_C4.csv	720012_18_C4	720012-18	numeric_tgnr	True
csv_median/133516_18_E11.csv	133516_18_E11	133516-18	numeric_tgnr	True
csv_median/721258_18_A8.csv	721258_18_A8	721258-18	numeric_tgnr	True
csv_median/132092_18_B6.csv	132092_18_B6	132092-18	numeric_tgnr	True
csv_median/720072_18_D3.csv	720072_18_D3	720072-18	numeric_tgnr	True
csv_median/118708_18_C11.csv	118708_18_C11	118708-18	numeric_tgnr	True
csv_median/721197_18_B6_1.csv	721197_18_B6_1	721197-18	numeric_tgnr	True
csv_median/122752_18_H8.csv	122752_18_H8	122752-18	numeric_tgnr	True
csv_median/721705_18_F4.csv	721705_18_F4	721705-18	numeric_tgnr	True
csv_median/120706_2_18_C3.csv	120706_2_18_C3	120706-2-18	numeric_tgnr	True
csv_median/100033_19_C11.csv	100033_19_C11	100033-19	numeric_tgnr	True
csv_median/721299_18_E11.csv	721299_18_E11	721299-18	numeric_tgnr	True
csv_median/721334_18_C1.csv	721334_18_C1	721334-18	numeric_tgnr	True
csv_median/721299_18_E12.csv	721299_18_E12	721299-18	numeric_tgnr	True
csv_median/716390_18_F12.csv	716390_18_F12	716390-18	numeric_tgnr	True
csv_median/126737_18_C10.csv	126737_18_C10	126737-18	numeric_tgnr	True
csv_median/139632_18_H5.csv	139632_18_H5	139632-18	numeric_tgnr	True
csv_median/714244_18_B10.csv	714244_18_B10	714244-18	numeric_tgnr	True
csv_median/BTS_Validation_E1_08.csv	BTS_Validation_E1_08	BTS-Validation	unmapped_other	False
csv_median/719872_18_A10.csv	719872_18_A10	719872-18	numeric_tgnr	True
csv_median/720135_18_G7.csv	720135_18_G7	720135-18	numeric_tgnr	True
