TGNR	code_count	codes	run_accession	sample_accession	experiment_accession	inferred_year	has_medianpeaks	csv_file_count
100033-19	0		ERR10176577	SAMEA111330839	ERX9713046	2019	True	4
100080-19	0		ERR10176578	SAMEA111330840	ERX9713047	2019	True	4
100223-19	0		ERR10176579	SAMEA111330841	ERX9713048	2019	True	4
100676-19	0		ERR10176580	SAMEA111330842	ERX9713049	2019	True	4
100738-19	0		ERR10176581	SAMEA111330843	ERX9713050	2019	True	4
100977-19	0		ERR10176585	SAMEA111330847	ERX9713054	2019	True	4
101099-19	0		ERR10176586	SAMEA111330848	ERX9713055	2019	True	4
102689-19	0		ERR10176587	SAMEA111330849	ERX9713056	2019	True	4
102832-19	0		ERR10176588	SAMEA111330850	ERX9713057	2019	True	4
102916-19	0		ERR10176589	SAMEA111330851	ERX9713058	2019	True	4
103840-19	0		ERR10176593	SAMEA111330855	ERX9713062	2019	True	4
103864-19	0		ERR10176594	SAMEA111330856	ERX9713063	2019	True	4
104005-19	0		ERR10176595	SAMEA111330857	ERX9713064	2019	True	4
104977-19	0		ERR10176598	SAMEA111330860	ERX9713067	2019	True	4
105056-19	0		ERR10176599	SAMEA111330861	ERX9713068	2019	True	4
105252-19	0		ERR10176601	SAMEA111330863	ERX9713070	2019	True	4
105320-19	0		ERR10176602	SAMEA111330864	ERX9713071	2019	True	4
105436-19	0		ERR10176603	SAMEA111330865	ERX9713072	2019	True	4
115309-18	0		ERR10176644	SAMEA111330906	ERX9713113	2018	True	4
115325-18	0		ERR10176645	SAMEA111330907	ERX9713114	2018	True	4
115366-18	0		ERR10176646	SAMEA111330908	ERX9713115	2018	True	4
115450-18	0		ERR10176647	SAMEA111330909	ERX9713116	2018	True	4
115672-18	0		ERR10176648	SAMEA111330910	ERX9713117	2018	True	4
116096-18	0		ERR10176649	SAMEA111330911	ERX9713118	2018	True	4
116960-18	0		ERR10176651	SAMEA111330913	ERX9713120	2018	True	4
116961-18	0		ERR10176652	SAMEA111330914	ERX9713121	2018	True	4
116966-18	0		ERR10176653	SAMEA111330915	ERX9713122	2018	True	4
116967-18	0		ERR10176654	SAMEA111330916	ERX9713123	2018	True	4
117050-18	0		ERR10176655	SAMEA111330917	ERX9713124	2018	True	4
117243-18	0		ERR10176656	SAMEA111330918	ERX9713125	2018	True	4
117301-18	0		ERR10176657	SAMEA111330919	ERX9713126	2018	True	4
117315-18	0		ERR10176658	SAMEA111330920	ERX9713127	2018	True	4
117412-18	0		ERR10176662	SAMEA111330924	ERX9713131	2018	True	4
117416-18	0		ERR10176663	SAMEA111330925	ERX9713132	2018	True	4
117670-18	0		ERR10176664	SAMEA111330926	ERX9713133	2018	True	4
117796-18	0		ERR10176666	SAMEA111330928	ERX9713135	2018	True	4
