site,drug,cnn_raw_auc,cnn_centered_auc,cnn_raw_minus_centered,cnn_retention,cnn_adequacy,lgbm_raw_auc,lgbm_centered_auc,lgbm_raw_minus_centered,lgbm_retention,lgbm_adequacy,model_family_consensus,published_model_family,published_site,published_organism,published_drug,published_raw_auc,published_raw_auc_95ci,published_stratum_centered_auc,published_stratum_centered_auc_95ci,published_matched_retention,published_n_total,published_n_matched,published_n_valid_strata,published_adequacy_label,published_interpretation_category
A-2018,Amox-Clav,0.65,0.541,0.109,0.922,interpretable,0.635,0.482,0.153,0.922,interpretable,collapses after matching,,,,,,,,,,,,,,
A-2018,Cipro,0.823,0.703,0.12,0.619,interpretable,0.828,0.64,0.188,0.619,interpretable,survives background matching,,,,,,,,,,,,,,
DRIAMS-C,Amox-Clav,0.535,0.497,0.038,0.892,interpretable,0.593,0.518,0.074,0.892,interpretable,collapses after matching,,,,,,,,,,,,,,
DRIAMS-C,Cipro,0.75,0.646,0.104,0.476,interpretable,0.814,0.637,0.177,0.476,interpretable,survives background matching,,,,,,,,,,,,,,
DRIAMS-D,Amox-Clav,0.557,0.486,0.07,0.974,interpretable,0.58,0.449,0.131,0.974,interpretable,collapses after matching,,,,,,,,,,,,,,
DRIAMS-D,Cipro,0.671,0.596,0.075,0.984,interpretable,0.723,0.576,0.147,0.984,interpretable,partial/weak residual signal,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weis/Borgwardt-style logistic regression,DRIAMS-C,Escherichia coli,Amox-Clav,0.626248,0.626 (0.523-0.722),0.578182,0.578 (0.434-0.687),0.745856,181.0,135.0,3.0,interpretable,partially_retained_or_uncertain
,,,,,,,,,,,,,Weis/Borgwardt-style logistic regression,DRIAMS-C,Escherichia coli,Cipro,0.625,0.625 (0.548-0.709),0.816176,0.816 (0.639-0.953),0.438202,178.0,78.0,2.0,caution_low_n_matched,caution_low_matched_support
,,,,,,,,,,,,,Weis/Borgwardt-style logistic regression,DRIAMS-D,Escherichia coli,Amox-Clav,0.652425,0.652 (0.579-0.716),0.524015,0.524 (0.418-0.594),0.924812,399.0,369.0,3.0,interpretable,background_driven_collapse
,,,,,,,,,,,,,Weis/Borgwardt-style logistic regression,DRIAMS-D,Escherichia coli,Cipro,0.667111,0.667 (0.582-0.739),0.619607,0.620 (0.527-0.686),0.914948,388.0,355.0,3.0,interpretable,focal_signal_retained
