site,organism,drug,n,n_r,n_s,prevalence,mean_prob,auc,brier,expected_calibration_error,maximum_calibration_error,threshold,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,calibration_label
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,1367,383,984,0.280176,0.473589,0.650345,0.229865,0.194027,0.314358,0.5,0.524804,0.684959,0.393346,0.787383,0.640088,0.604882,borderline_calibration
A-2018,Escherichia coli,Cefepime,1230,65,1165,0.0528455,0.174121,0.866636,0.0701507,0.121275,0.543721,0.5,0.692308,0.920172,0.326087,0.981685,0.90813,0.80624,well_calibrated
A-2018,Escherichia coli,Ceftazidime,1257,120,1137,0.0954654,0.222552,0.837782,0.101364,0.127086,0.540953,0.5,0.658333,0.894459,0.396985,0.961248,0.871917,0.776396,well_calibrated
A-2018,Escherichia coli,Ceftriaxone,1390,258,1132,0.185612,0.330014,0.863259,0.130287,0.144403,0.406297,0.5,0.748062,0.838339,0.513298,0.935897,0.821583,0.793201,well_calibrated
A-2018,Escherichia coli,Ciprofloxacin,1350,355,995,0.262963,0.417523,0.822524,0.170743,0.15456,0.444972,0.5,0.704225,0.769849,0.521921,0.879449,0.752593,0.737037,borderline_calibration
A-2018,Escherichia coli,Norfloxacin,439,87,352,0.198178,0.36817,0.742588,0.193551,0.176794,0.579071,0.5,0.563218,0.747159,0.355072,0.873754,0.710706,0.655189,borderline_calibration
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,198,61,137,0.308081,0.486145,0.694268,0.224354,0.178064,0.255482,0.5,0.622951,0.671533,0.457831,0.8,0.656566,0.647242,borderline_calibration
DRIAMS-B,Escherichia coli,Cefepime,213,43,170,0.201878,0.199141,0.753215,0.142801,0.0725795,0.412842,0.5,0.395349,0.9,0.5,0.854749,0.798122,0.647674,well_calibrated
DRIAMS-B,Escherichia coli,Ceftazidime,213,45,168,0.211268,0.237791,0.734921,0.148506,0.0758478,0.428717,0.5,0.444444,0.886905,0.512821,0.856322,0.793427,0.665675,well_calibrated
DRIAMS-B,Escherichia coli,Ceftriaxone,213,45,168,0.211268,0.321529,0.743122,0.166101,0.117021,0.375057,0.5,0.577778,0.827381,0.472727,0.879747,0.774648,0.702579,well_calibrated
DRIAMS-B,Escherichia coli,Ciprofloxacin,212,58,154,0.273585,0.431516,0.773735,0.192311,0.161604,0.365916,0.5,0.672414,0.727273,0.481481,0.854962,0.712264,0.699843,borderline_calibration
DRIAMS-B,Escherichia coli,Norfloxacin,210,69,141,0.328571,0.436478,0.702642,0.227658,0.178222,0.58467,0.5,0.608696,0.716312,0.512195,0.789062,0.680952,0.662504,borderline_calibration
DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,902,230,672,0.254989,0.498321,0.535443,0.264539,0.246496,0.543089,0.5,0.486957,0.549107,0.26988,0.7577,0.533259,0.518032,borderline_calibration
DRIAMS-C,Escherichia coli,Cefepime,609,113,496,0.18555,0.243499,0.648248,0.174554,0.132302,0.503429,0.5,0.345133,0.856855,0.354545,0.851703,0.761905,0.600994,well_calibrated
DRIAMS-C,Escherichia coli,Ceftazidime,908,139,769,0.153084,0.265562,0.609256,0.180103,0.161441,0.595571,0.5,0.338129,0.825748,0.259669,0.873453,0.751101,0.581939,borderline_calibration
DRIAMS-C,Escherichia coli,Ceftriaxone,913,148,765,0.162103,0.351964,0.6233,0.214529,0.228773,0.53564,0.5,0.459459,0.734641,0.250923,0.875389,0.690033,0.59705,borderline_calibration
DRIAMS-C,Escherichia coli,Ciprofloxacin,886,188,698,0.21219,0.444754,0.749893,0.216062,0.232564,0.494643,0.5,0.702128,0.659026,0.356757,0.891473,0.668172,0.680577,borderline_calibration
DRIAMS-C,Escherichia coli,Norfloxacin,442,118,324,0.266968,0.465985,0.778693,0.214624,0.213054,0.467037,0.5,0.737288,0.666667,0.446154,0.874494,0.68552,0.701977,borderline_calibration
DRIAMS-D,Escherichia coli,Amoxicillin-Clavulanic acid,1994,332,1662,0.166499,0.499423,0.556721,0.25949,0.332923,0.474919,0.5,0.512048,0.551745,0.185792,0.849861,0.545135,0.531897,poorly_calibrated
DRIAMS-D,Escherichia coli,Cefepime,1923,80,1843,0.0416017,0.224468,0.768753,0.107226,0.182867,0.657048,0.5,0.55,0.858926,0.144737,0.977764,0.846074,0.704463,borderline_calibration
DRIAMS-D,Escherichia coli,Ceftazidime,1987,178,1809,0.0895823,0.260301,0.727374,0.13533,0.170718,0.608515,0.5,0.505618,0.832504,0.229008,0.944793,0.803221,0.669061,borderline_calibration
DRIAMS-D,Escherichia coli,Ceftriaxone,1994,198,1796,0.0992979,0.333448,0.72581,0.173565,0.23415,0.598001,0.5,0.560606,0.762249,0.20632,0.940247,0.742227,0.661428,borderline_calibration
DRIAMS-D,Escherichia coli,Ciprofloxacin,1939,371,1568,0.191336,0.448692,0.670566,0.24009,0.25987,0.536726,0.5,0.606469,0.635842,0.282663,0.872266,0.630222,0.621155,poorly_calibrated
