site,organism,drug,stratum_type,stratum_value,n,n_r,n_s,auc,mean_prob,mean_prob_r,mean_prob_s,background_known_count,background_resistant_count,adequacy_label,interpretation
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,0,948,171,777,0.534121,0.409049,0.418615,0.406944,4,0,interpretable,weak_or_reversed_in_stratum
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,1,153,67,86,0.483686,0.579847,0.575575,0.583175,4,1,interpretable,weak_or_reversed_in_stratum
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,2,149,54,95,0.618908,0.625669,0.672308,0.599159,4,2,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,3,64,46,18,0.585749,0.639065,0.653587,0.601954,3,3,interpretable,borderline_in_stratum
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,4,43,37,6,0.54955,0.714909,0.716514,0.705011,4,4,interpretable,weak_or_reversed_in_stratum
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,5,10,8,2,0.5625,0.603451,0.58816,0.664613,5,5,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden_bin,multi,266,145,121,0.612938,0.642483,0.673006,0.605905,3,3,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden_bin,none,946,171,775,0.535212,0.408606,0.418615,0.406398,4,0,interpretable,weak_or_reversed_in_stratum
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden_bin,single,153,67,86,0.483686,0.579847,0.575575,0.583175,4,1,interpretable,weak_or_reversed_in_stratum
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden_bin,unknown,2,0,2,,0.61867,,0.61867,0,0,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,10,8,2,0.5625,0.603451,0.58816,0.664613,5,5,underpowered_low_n,do_not_overinterpret
