site,drug_a,drug_b,n_both_known,n_ss,n_sr,n_rs,n_rr,prevalence_a,prevalence_b,p_rr_observed,p_rr_expected_independent,rr_lift,log2_rr_lift,odds_ratio_haldane,log2_odds_ratio,phi,resistant_jaccard
A-2018,Ciprofloxacin,Norfloxacin,439,352,0,0,87,0.198178,0.198178,0.198178,0.0392744,5.04598,2.33513,123375,16.9127,1,1
A-2018,Ciprofloxacin,Amoxicillin-Clavulanic acid,1321,777,200,175,169,0.260409,0.279334,0.127933,0.072741,1.75875,0.814552,3.74523,1.90505,0.280302,0.310662
A-2018,Ciprofloxacin,Ceftriaxone,1346,943,49,166,188,0.263001,0.176077,0.139673,0.0463086,3.01614,1.5927,21.5791,4.43156,0.556768,0.466501
A-2018,Ciprofloxacin,Ceftazidime,1225,931,27,182,85,0.217959,0.0914286,0.0693878,0.0199277,3.48198,1.79991,15.8691,3.98815,0.415654,0.289116
A-2018,Ciprofloxacin,Cefepime,1201,954,7,184,56,0.199833,0.0524563,0.0466278,0.0104825,4.44815,2.1532,38.9733,5.28441,0.405442,0.226721
A-2018,Norfloxacin,Amoxicillin-Clavulanic acid,438,295,57,46,40,0.196347,0.221461,0.0913242,0.0434832,2.10022,1.07054,4.47602,2.16222,0.290044,0.27972
A-2018,Norfloxacin,Ceftriaxone,435,343,6,52,34,0.197701,0.091954,0.0781609,0.0181794,4.29942,2.10414,34.7275,5.11801,0.521201,0.369565
A-2018,Norfloxacin,Ceftazidime,423,342,6,57,18,0.177305,0.0567376,0.0425532,0.0100599,4.23,2.08066,16.9532,4.08348,0.367758,0.222222
A-2018,Norfloxacin,Cefepime,416,347,0,59,10,0.165865,0.0240385,0.0240385,0.00398715,6.02899,2.59192,122.647,6.93837,0.351947,0.144928
A-2018,Amoxicillin-Clavulanic acid,Ceftriaxone,1360,873,104,235,148,0.281618,0.185294,0.108824,0.0521821,2.08546,1.06036,5.27087,2.39804,0.324112,0.303901
A-2018,Amoxicillin-Clavulanic acid,Ceftazidime,1231,870,28,243,90,0.270512,0.095857,0.0731113,0.0259305,2.81951,1.49545,11.352,3.50488,0.360772,0.249307
A-2018,Amoxicillin-Clavulanic acid,Cefepime,1205,888,11,252,54,0.253942,0.0539419,0.0448133,0.0136981,3.27149,1.70995,16.6761,4.05971,0.316444,0.170347
A-2018,Ceftriaxone,Ceftazidime,1252,1108,2,29,113,0.113419,0.091853,0.0902556,0.0104178,8.66356,3.11496,1705.96,10.7364,0.87173,0.784722
A-2018,Ceftriaxone,Cefepime,1227,1125,4,37,61,0.0798696,0.0529747,0.0497148,0.00423107,11.7499,3.55458,410.182,8.68012,0.749074,0.598039
A-2018,Ceftazidime,Cefepime,1185,1115,4,12,54,0.0556962,0.0489451,0.0455696,0.00272606,16.7163,4.06318,1080.8,10.0779,0.865883,0.771429
ALL,Ciprofloxacin,Norfloxacin,1090,817,10,0,263,0.241284,0.250459,0.241284,0.0604318,3.99267,1.99736,41030.7,15.3244,0.975562,0.96337
ALL,Ciprofloxacin,Amoxicillin-Clavulanic acid,4336,2843,534,520,439,0.221172,0.2244,0.101245,0.049631,2.03996,1.02854,4.49204,2.16737,0.298095,0.294039
ALL,Ciprofloxacin,Ceftriaxone,4371,3227,174,533,437,0.221917,0.139785,0.0999771,0.0310207,3.22292,1.68837,15.1675,3.92291,0.478556,0.381993
ALL,Ciprofloxacin,Ceftazidime,4246,3219,150,567,310,0.206547,0.108337,0.0730099,0.0223768,3.26275,1.70609,11.7044,3.54897,0.402416,0.30185
ALL,Ciprofloxacin,Cefepime,3873,3060,67,524,222,0.192616,0.0746192,0.0573199,0.0143728,3.98808,1.99569,19.2342,4.2656,0.414441,0.273063
ALL,Norfloxacin,Amoxicillin-Clavulanic acid,1072,667,135,133,137,0.251866,0.253731,0.127799,0.0639062,1.99978,0.999843,5.0738,2.34307,0.338251,0.338272
ALL,Norfloxacin,Ceftriaxone,1079,739,67,150,123,0.253012,0.176089,0.113994,0.0445526,2.55865,1.35538,8.99011,3.16834,0.41936,0.361765
ALL,Norfloxacin,Ceftazidime,1068,746,62,159,101,0.243446,0.152622,0.0945693,0.0371551,2.54526,1.34781,7.60073,2.92614,0.372007,0.313665
ALL,Norfloxacin,Cefepime,771,544,32,106,89,0.252918,0.156939,0.115435,0.0396928,2.9082,1.54013,14.0795,3.81553,0.479034,0.39207
ALL,Amoxicillin-Clavulanic acid,Ceftriaxone,4439,3162,274,634,369,0.225952,0.144852,0.0831268,0.0327297,2.5398,1.34472,6.7092,2.74614,0.342398,0.288958
ALL,Amoxicillin-Clavulanic acid,Ceftazidime,4304,3196,162,628,318,0.219796,0.111524,0.0738848,0.0245125,3.01416,1.59176,9.9684,3.31736,0.378758,0.287004
ALL,Amoxicillin-Clavulanic acid,Cefepime,3917,2969,92,647,209,0.218535,0.0768445,0.0533572,0.0167932,3.17731,1.66781,10.3869,3.37669,0.332196,0.220464
