site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,0.6347141735124923,0.6004961008083523,0.670786710330892,0.41915731100797254,0.6252443348027122,0.5898920978097824,0.6611147101369613,0.37464600456487923,0.4820506598724741,0.43592382323576045,0.5224765012652128,0.5362785297532443,68043,0.18562874251497005,0.46666948409970205,0.01842716532930105,0.922457937088515,interpretable,1367,383,1261,313,14,3,3,False
A-2018,Escherichia coli,Cefepime,0.8863519313304721,0.8377355844168887,0.9351456711686321,0.46143939057555045,0.7955882352941176,0.6803436056696927,0.9043584870414139,0.8167009135003224,0.5389705882352941,0.3852583626184121,0.6819754464285713,0.9285714285714286,238,0.001996007984031936,0.40779999999999994,0.03850101223452961,0.06016260162601626,caution_low_n_matched_and_low_retention,1230,65,74,34,2,3,3,False
A-2018,Escherichia coli,Ceftazidime,0.8064643799472295,0.7617038731865493,0.8477589176575813,0.36530720648797416,0.39375,0.2135786670437406,0.5655357142857143,0.6294537047019155,0.3416666666666667,0.18838159588159592,0.5149267399267397,0.28289473684210525,152,0.9201596806387226,0.46279583333333335,0.08146104160349307,0.03739061256961018,caution_low_n_matched_and_low_retention,1257,120,47,32,3,3,3,False
A-2018,Escherichia coli,Ceftriaxone,0.8543669707179445,0.8249928673510708,0.8801188322463331,0.6598367799663433,0.6658986175115207,0.5284021526551252,0.7990754015564242,0.45123557685420673,0.7258064516129032,0.6326594312885478,0.8190024038461539,0.8100358422939068,558,0.001996007984031936,0.5301411290322581,0.049531558631992295,0.1093525179856115,interpretable,1390,258,152,28,6,3,3,False
A-2018,Escherichia coli,Ciprofloxacin,0.8279991506829925,0.8030491527127572,0.8504199906033096,0.7207587823604873,0.8505565226565385,0.8167237872888886,0.8778192006761381,0.7422790911001975,0.6401178607223867,0.5842626373646745,0.692204371247988,0.7686783460002576,31052,0.001996007984031936,0.45420964739749353,0.018716241334907815,0.6192592592592593,interpretable,1350,355,836,213,9,3,3,False
A-2018,Escherichia coli,Norfloxacin,0.7443834900731452,0.6833363718940609,0.8026632286763317,0.5342967383483586,,,,,,,,,0,,,,0.0,not_interpretable_no_valid_strata,439,87,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.7487136532248414,0.6708431526842392,0.8268427714497519,0.6049953815667991,0.6415465268676278,0.47627999717673636,0.8097806139472806,0.19578217167852638,0.6415465268676278,0.4857290857290858,0.8039255375952623,0.6415465268676278,1526,0.03992015968063872,0.49614023591087814,0.08255080014408939,0.6212121212121212,interpretable,198,61,123,14,1,3,3,False
DRIAMS-B,Escherichia coli,Cefepime,0.8441860465116279,0.768589905212804,0.9091631516947863,0.6312252497425539,,,,,,,,,0,,,,0.0,not_interpretable_no_valid_strata,213,43,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Ceftazidime,0.801984126984127,0.7259878440166901,0.8783349282633324,0.5921842350841704,,,,,,,,,0,,,,0.0,not_interpretable_no_valid_strata,213,45,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Ceftriaxone,0.8157407407407408,0.7292615090137526,0.8954850143017037,0.6269069827527625,,,,,,,,,0,,,,0.0,not_interpretable_no_valid_strata,213,45,0,0,0,3,3,False
