site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,0.613805,0.582329,0.64907,0.405677,0.606581,0.568668,0.64666,0.362352,0.465149,0.426298,0.505805,0.53816,68043,0.167665,0.448814,0.0175048,0.922458,interpretable,background_driven_collapse,1367,383,1261,313,14,3,3,False
A-2018,Escherichia coli,Cefepime,0.887818,0.837465,0.929164,0.449579,0.868382,0.788012,0.940735,0.846295,0.575735,0.425439,0.72949,0.94958,238,0.00199601,0.429472,0.0390328,0.0601626,caution_low_n_matched_and_low_retention,caution_low_matched_support,1230,65,74,34,2,3,3,False
A-2018,Escherichia coli,Ceftazidime,0.804485,0.761444,0.845699,0.370438,0.4,0.214583,0.558824,0.639265,0.410417,0.266667,0.585973,0.375,152,0.932136,0.531421,0.0795497,0.0373906,caution_low_n_matched_and_low_retention,caution_low_matched_support,1257,120,47,32,3,3,3,False
A-2018,Escherichia coli,Ceftriaxone,0.861078,0.831231,0.886833,0.704475,0.739055,0.616246,0.847268,0.498994,0.825749,0.737308,0.904682,0.854839,558,0.00199601,0.569685,0.0513435,0.109353,interpretable,focal_signal_retained,1390,258,152,28,6,3,3,False
A-2018,Escherichia coli,Ciprofloxacin,0.827574,0.802121,0.849584,0.715522,0.844144,0.810173,0.871431,0.736416,0.652469,0.592028,0.707056,0.782301,31052,0.00199601,0.449175,0.0196701,0.619259,interpretable,focal_signal_retained,1350,355,836,213,9,3,3,False
A-2018,Escherichia coli,Norfloxacin,0.684953,0.613766,0.750291,0.471424,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,439,87,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.603686,0.512007,0.68599,0.458797,0.451507,0.270243,0.653904,0.18418,0.451507,0.266138,0.651376,0.451507,1526,0.736527,0.503218,0.0796761,0.621212,interpretable,background_driven_collapse,198,61,123,14,1,3,3,False
DRIAMS-B,Escherichia coli,Cefepime,0.798906,0.725361,0.860694,0.523538,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,43,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Ceftazidime,0.817063,0.738636,0.889815,0.633869,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,45,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Ceftriaxone,0.835317,0.765686,0.90142,0.68484,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,45,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Ciprofloxacin,0.815159,0.747656,0.881123,0.721805,0.8,0.578947,0.960317,0.948946,0.8,0.547619,0.978261,0.8,100,0.0219561,0.49534,0.146946,0.117925,caution_low_n_matched,caution_low_matched_support,212,58,25,20,1,3,3,False
DRIAMS-B,Escherichia coli,Norfloxacin,0.753006,0.682334,0.832494,0.659184,0.436697,0.1875,0.616514,0.0451512,0.436697,0.209091,0.605505,0.436697,545,0.686627,0.504327,0.138427,0.542857,interpretable,background_driven_collapse,210,69,114,5,1,3,3,False
DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.559045,0.51751,0.613761,0.356799,0.606451,0.549503,0.655275,0.367577,0.532529,0.483106,0.582319,0.547692,24417,0.00199601,0.467553,0.0219056,0.892461,interpretable,weak_raw_signal,902,230,805,181,10,3,3,False
DRIAMS-C,Escherichia coli,Cefepime,0.564802,0.5043,0.629184,0.296279,0.199495,0.0714286,0.358333,0.158663,0.272727,0.13141,0.426282,0.214286,126,0.998004,0.523066,0.0870333,0.0771757,caution_low_n_matched_and_low_retention,caution_low_matched_support,609,113,47,11,3,3,3,False
DRIAMS-C,Escherichia coli,Ceftazidime,0.605888,0.554884,0.660728,0.22019,0.292308,0.0746269,0.626866,0.0405959,0.292308,0.0597015,0.626866,0.292308,195,0.88024,0.495846,0.174398,0.0748899,caution_low_n_matched_and_low_retention,caution_low_matched_support,908,139,68,3,1,3,3,False
DRIAMS-C,Escherichia coli,Ceftriaxone,0.649929,0.593388,0.701591,0.31399,0.763889,0.591304,0.907143,0.503422,0.768519,0.578261,0.913223,0.803419,117,0.00798403,0.528481,0.100289,0.0361446,caution_low_n_matched_and_low_retention,caution_low_matched_support,913,148,33,9,2,3,3,False
DRIAMS-C,Escherichia coli,Ciprofloxacin,0.804403,0.762827,0.840455,0.67342,0.795001,0.729487,0.850242,0.585374,0.682482,0.587504,0.780203,0.755457,7238,0.00199601,0.45436,0.034122,0.476298,interpretable,focal_signal_retained,886,188,422,65,4,3,3,False
DRIAMS-C,Escherichia coli,Norfloxacin,0.785991,0.735832,0.834567,0.707209,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,442,118,0,0,0,3,3,False
