site,block,mean_auc,mean_aupr,mean_sens,mean_spec,n_pairs,n,n_r,source_auc,source_aupr,auc_source_delta,aupr_source_delta
A-2018,ESBL/AmpC cephalosporin block,0.863,0.5617,0.6715,0.8225000000000001,3,3877,443,0.863,0.5617,0.0,0.0
A-2018,Fluoroquinolone block,0.7998000000000001,0.6195999999999999,0.7899,0.59985,2,1789,442,0.7998000000000001,0.6195999999999999,0.0,0.0
A-2018,Heterogeneous inhibitor beta-lactam,0.6504,0.4425,0.5144,0.6982,1,1367,383,0.6504,0.4425,0.0,0.0
DRIAMS-B,ESBL/AmpC cephalosporin block,0.7872666666666667,0.5329,0.4849666666666667,0.7897666666666666,3,639,133,0.863,0.5617,-0.07573333333333332,-0.028799999999999937
DRIAMS-B,Fluoroquinolone block,0.7633,0.64005,0.7902499999999999,0.50625,2,422,127,0.7998000000000001,0.6195999999999999,-0.03650000000000009,0.02045000000000008
DRIAMS-B,Heterogeneous inhibitor beta-lactam,0.7236,0.5343,0.6721,0.6496,1,198,61,0.6504,0.4425,0.07320000000000004,0.09179999999999999
DRIAMS-C,ESBL/AmpC cephalosporin block,0.6471,0.3107,0.3711333333333333,0.7624333333333334,3,2430,400,0.863,0.5617,-0.21589999999999998,-0.251
DRIAMS-C,Fluoroquinolone block,0.77105,0.63405,0.8180499999999999,0.47809999999999997,2,1328,306,0.7998000000000001,0.6195999999999999,-0.028750000000000053,0.014450000000000074
DRIAMS-C,Heterogeneous inhibitor beta-lactam,0.5423,0.3017,0.4957,0.5774,1,902,230,0.6504,0.4425,-0.10809999999999997,-0.14079999999999998
DRIAMS-D,ESBL/AmpC cephalosporin block,0.7633000000000001,0.36116666666666664,0.5267333333333334,0.7851666666666667,3,5904,456,0.863,0.5617,-0.0996999999999999,-0.20053333333333334
DRIAMS-D,Fluoroquinolone block,0.6805,0.3903,0.8302,0.345,1,1939,371,0.7998000000000001,0.6195999999999999,-0.11930000000000007,-0.22929999999999995
DRIAMS-D,Heterogeneous inhibitor beta-lactam,0.5559,0.2549,0.494,0.5836,1,1994,332,0.6504,0.4425,-0.09450000000000003,-0.1876
