organism,drug_a,drug_b,n_both_known,n_rr,prevalence_a,prevalence_b,rr_observed,rr_expected_independent,rr_lift,phi
Escherichia coli,Cefotaxime,Ceftazidime,1881,619,0.32908027644869753,0.32908027644869753,0.32908027644869753,0.10829382834755119,3.0387722132471726,1.0
Escherichia coli,Ciprofloxacin,Levofloxacin,1758,806,0.4590443686006826,0.45847554038680316,0.45847554038680316,0.2104606149557168,2.1784386617100373,0.9988552067716534
Klebsiella pneumoniae,Cefotaxime,Ceftazidime,16659,4649,0.27996878564139505,0.27954859235248214,0.2790683714508674,0.0782648799286858,3.565690916604635,0.9965745429547195
Klebsiella pneumoniae,Cefotaxime,Cefepime,16769,4523,0.277058858608146,0.2701413322201682,0.2697238952829626,0.07484504916780377,3.6037640202258054,0.9806460993945885
Klebsiella pneumoniae,Ceftazidime,Cefepime,16652,4523,0.27930578909440307,0.2722796060533269,0.27161902474177274,0.07604927022303767,3.5716190825390846,0.9792563027321762
Klebsiella pneumoniae,Ciprofloxacin,Levofloxacin,14042,4308,0.3166927788064378,0.3072924084888193,0.30679390400227885,0.09731728675044718,3.1525118943050385,0.9760174383883484
Escherichia coli,Cefotaxime,Cefepime,1877,584,0.3287160362280234,0.311134789557805,0.311134789557805,0.10227499475608187,3.0421393841166937,0.9603949143912983
Escherichia coli,Ceftazidime,Cefepime,1877,584,0.3287160362280234,0.311134789557805,0.311134789557805,0.10227499475608187,3.0421393841166937,0.9603949143912983
Escherichia coli,Ciprofloxacin,Norfloxacin,334,158,0.47305389221556887,0.5059880239520959,0.47305389221556887,0.23935960414500343,1.9763313609467454,0.9362047265106219
Escherichia coli,Norfloxacin,Levofloxacin,342,158,0.5146198830409356,0.4619883040935672,0.4619883040935672,0.23774836701891178,1.9431818181818183,0.8999478465345719
Klebsiella pneumoniae,Ciprofloxacin,Norfloxacin,11619,2828,0.2433944401411481,0.31612014803339356,0.2433944401411481,0.07694188644792468,3.163354206370814,0.8342272630019028
Klebsiella pneumoniae,Ciprofloxacin,Cefotaxime,16293,3833,0.2807340575707359,0.27023875283864235,0.2352544037316639,0.07586522159724729,3.1009519089073607,0.7987342911129233
Klebsiella pneumoniae,Ciprofloxacin,Ceftazidime,16161,3826,0.28346018191943567,0.2721366252088361,0.23674277581832806,0.07713989728863796,3.0690055877634443,0.7957123410229433
Klebsiella pneumoniae,Ciprofloxacin,Cefepime,16277,3779,0.281317196043497,0.26442219082140445,0.23216808994286417,0.074386509293556,3.1211047829472025,0.7956577120285944
Klebsiella pneumoniae,Norfloxacin,Levofloxacin,10281,2654,0.355607431183737,0.25824336154070615,0.258146094737866,0.09183325841774358,2.8110305480349616,0.7938158943603854
Klebsiella pneumoniae,Levofloxacin,Cefotaxime,14464,3571,0.29666758849557523,0.2984651548672566,0.2468888274336283,0.08854493774442741,2.7882884524267033,0.7575555797652965
