isolate_id	inferred_year	run_accession	sample_accession	experiment_accession	study_accession	scientific_name	fastq_1	fastq_2	submitted_fastq_1	submitted_fastq_2	bam_ftp
700007-19	2019	ERR10176482	SAMEA111331126	ERX9712951	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/082/ERR10176482/ERR10176482_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/082/ERR10176482/ERR10176482_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176482/700007-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176482/700007-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/082/ERR10176482.bam
700223-20	2020	ERR10176488	SAMEA111331132	ERX9712957	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/088/ERR10176488/ERR10176488_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/088/ERR10176488/ERR10176488_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176488/700223-20_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176488/700223-20_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/088/ERR10176488.bam
700488-20	2020	ERR10176497	SAMEA111331141	ERX9712966	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/097/ERR10176497/ERR10176497_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/097/ERR10176497/ERR10176497_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176497/700488-20_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176497/700488-20_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/097/ERR10176497.bam
700636-20	2020	ERR10176500	SAMEA111331144	ERX9712969	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR10176500/ERR10176500_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR10176500/ERR10176500_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176500/700636-20_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176500/700636-20_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/000/ERR10176500.bam
721536-18	2018	ERR10176502	SAMEA111331840	ERX9712971	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR10176502/ERR10176502_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR10176502/ERR10176502_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176502/721536-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176502/721536-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/002/ERR10176502.bam
721547-18	2018	ERR10176503	SAMEA111331841	ERX9712972	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR10176503/ERR10176503_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR10176503/ERR10176503_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176503/721547-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176503/721547-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/003/ERR10176503.bam
721600-18	2018	ERR10176509	SAMEA111331847	ERX9712978	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR10176509/ERR10176509_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR10176509/ERR10176509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176509/721600-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176509/721600-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/009/ERR10176509.bam
721640-18	2018	ERR10176511	SAMEA111331849	ERX9712980	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/011/ERR10176511/ERR10176511_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/011/ERR10176511/ERR10176511_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176511/721640-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176511/721640-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/011/ERR10176511.bam
721656-18	2018	ERR10176515	SAMEA111331853	ERX9712984	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/015/ERR10176515/ERR10176515_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/015/ERR10176515/ERR10176515_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176515/721656-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176515/721656-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/015/ERR10176515.bam
721673-18-wh2	2018	ERR10176519	SAMEA111331857	ERX9712988	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/019/ERR10176519/ERR10176519_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/019/ERR10176519/ERR10176519_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176519/721673-18-wh2_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10176519/721673-18-wh2_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/019/ERR10176519.bam
