site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year,strongest_network_partner,partner_phi,partner_rr_lift
A-2018,Staphylococcus aureus,Ciprofloxacin,0.721608,0.675085,0.768038,0.424265,0.732238,0.682634,0.786583,0.439392,0.670416,0.613738,0.730464,0.665526,11684,0.00199601,0.49325,0.027228,0.857143,interpretable,focal_signal_retained,1183,155,1014,125,12,3,3,False,Oxacillin,0.324788,4.00021
A-2018,Staphylococcus aureus,Clindamycin,0.568608,0.512669,0.612737,0.184421,0.584564,0.51777,0.649182,0.269949,0.50024,0.439999,0.56287,0.407818,7035,0.566866,0.503608,0.020997,0.749126,interpretable,weak_raw_signal,1144,149,857,112,8,3,3,False,Erythromycin,0.790504,5.29668
A-2018,Staphylococcus aureus,Erythromycin,0.591863,0.540365,0.638145,0.238672,0.536956,0.47992,0.602987,0.134647,0.490138,0.423994,0.559079,0.591272,8387,0.696607,0.504614,0.0261349,0.834495,interpretable,weak_raw_signal,1148,181,958,103,9,3,3,False,Clindamycin,0.790504,5.29668
A-2018,Staphylococcus aureus,Fusidic acid,0.570416,0.496177,0.640147,0.096779,0.576615,0.501159,0.654885,0.140976,0.521387,0.434339,0.600333,0.484645,13416,0.291417,0.499445,0.0410443,0.755738,interpretable,weak_raw_signal,1220,71,922,57,8,3,3,False,Gentamicin,0.115334,4.44926
A-2018,Staphylococcus aureus,Gentamicin,0.689534,0.565645,0.807698,0.144613,0.770227,0.639683,0.882621,0.12044,0.504216,0.341653,0.671753,0.550027,1829,0.399202,0.481807,0.0845578,0.517597,interpretable,background_driven_collapse,1165,28,603,17,5,3,3,False,Oxacillin,0.24996,5.79254
A-2018,Staphylococcus aureus,Oxacillin,0.794721,0.74977,0.83834,0.649424,0.788229,0.73856,0.830565,0.693573,0.690489,0.628422,0.742685,0.690221,32110,0.00199601,0.467291,0.0252227,0.600816,interpretable,focal_signal_retained,1225,178,736,155,9,3,3,False,Ciprofloxacin,0.324788,4.00021
A-2018,Staphylococcus aureus,Penicillin,0.640891,0.604113,0.676511,0.830264,0.598101,0.556614,0.635223,0.733835,0.596414,0.555702,0.634135,0.59282,110634,0.00199601,0.499085,0.020164,0.777778,interpretable,partially_retained_or_uncertain,1134,812,882,579,8,3,3,False,Oxacillin,0.218309,1.40025
DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.683673,0.539095,0.824006,0.212321,0.638258,0.219101,1,0.18546,0.638258,0.224719,0.994382,0.638258,528,0.211577,0.508098,0.166851,0.532738,interpretable,focal_signal_retained,336,14,179,3,1,3,3,False,Oxacillin,0.324788,4.00021
DRIAMS-B,Staphylococcus aureus,Clindamycin,0.564178,0.481331,0.651777,0.183126,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,3,3,False,Erythromycin,0.790504,5.29668
DRIAMS-B,Staphylococcus aureus,Erythromycin,0.577585,0.483478,0.663399,0.187185,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,347,38,0,0,0,3,3,False,Clindamycin,0.790504,5.29668
