sensitivity_threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
2,A-2018,Staphylococcus aureus,Ciprofloxacin,0.721608,,,0.424265,0.716691,,,0.41458,0.652655,,,0.664878,11742,,,,0.89011,interpretable,focal_signal_retained,1183,155,1053,137,17,2,2,False
2,A-2018,Staphylococcus aureus,Clindamycin,0.568608,,,0.184421,0.595182,,,0.276974,0.514137,,,0.410405,7093,,,,0.77972,interpretable,weak_raw_signal,1144,149,892,129,11,2,2,False
2,A-2018,Staphylococcus aureus,Erythromycin,0.591863,,,0.238672,0.526567,,,0.137662,0.490086,,,0.589795,8447,,,,0.867596,interpretable,weak_raw_signal,1148,181,996,116,13,2,2,False
2,A-2018,Staphylococcus aureus,Fusidic acid,0.570416,,,0.096779,0.56805,,,0.104523,0.502493,,,0.483926,13562,,,,0.822131,interpretable,weak_raw_signal,1220,71,1003,65,12,2,2,False
2,A-2018,Staphylococcus aureus,Gentamicin,0.689534,,,0.144613,0.693086,,,0.110977,0.485577,,,0.545849,1843,,,,0.525322,interpretable,background_driven_collapse,1165,28,612,19,6,2,2,False
2,A-2018,Staphylococcus aureus,Oxacillin,0.794721,,,0.649424,0.783242,,,0.68921,0.690645,,,0.690246,32132,,,,0.613061,interpretable,focal_signal_retained,1225,178,751,159,11,2,2,False
2,A-2018,Staphylococcus aureus,Penicillin,0.640891,,,0.830264,0.592768,,,0.730926,0.594362,,,0.59278,110660,,,,0.794533,interpretable,partially_retained_or_uncertain,1134,812,901,591,11,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.683673,,,0.212321,0.638258,,,0.18546,0.638258,,,0.638258,528,,,,0.532738,interpretable,focal_signal_retained,336,14,179,3,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Clindamycin,0.564178,,,0.183126,0.545455,,,0.854254,0.545455,,,0.545455,22,,,,0.0373563,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,348,37,13,11,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Erythromycin,0.577585,,,0.187185,0.60989,,,0.0863539,0.60989,,,0.60989,182,,,,0.268012,caution_low_n_matched,caution_low_matched_support,347,38,93,2,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.66319,,,0.110114,0.607056,,,0.0799127,0.549574,,,0.534755,1266,,,,0.82659,interpretable,background_driven_collapse,346,20,286,12,3,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Gentamicin,0.61875,,,0.0406785,0.657732,,,0.129396,0.6,,,0.515789,285,,,,0.293103,interpretable,focal_signal_retained,348,8,102,5,2,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Oxacillin,0.774799,,,0.278532,0.811553,,,0.322582,0.811553,,,0.811553,1056,,,,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Penicillin,0.554957,,,0.709894,0.5651,,,0.716269,0.567651,,,0.579965,16182,,,,0.862069,interpretable,weak_raw_signal,348,227,300,196,3,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.630045,,,0.215207,0.641854,,,0.253238,0.612297,,,0.505985,4010,,,,0.861789,interpretable,focal_signal_retained,738,33,636,27,6,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.542777,,,0.187903,0.5067,,,0.110666,0.506061,,,0.516939,17238,,,,0.938556,interpretable,weak_raw_signal,651,79,611,66,4,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.474021,,,0.037439,0.476441,,,0.0444511,0.421679,,,0.384281,3448,,,,0.840246,interpretable,weak_raw_signal,651,17,547,15,4,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Gentamicin,0.556662,,,0.0517925,0.578998,,,0.0788059,0.391271,,,0.331658,1393,,,,0.661247,interpretable,weak_raw_signal,738,15,488,11,4,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Oxacillin,0.655772,,,0.200428,0.615823,,,0.165746,0.622116,,,0.658681,8807,,,,0.596206,interpretable,focal_signal_retained,738,41,440,29,2,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Penicillin,0.584588,,,0.799796,0.574185,,,0.774763,0.571031,,,0.550026,56201,,,,0.926829,interpretable,weak_raw_signal,738,547,684,494,6,2,2,False
2,DRIAMS-D,Staphylococcus aureus,Ciprofloxacin,0.758416,,,0.324865,0.773931,,,0.331292,0.716682,,,0.776592,44985,,,,0.905137,interpretable,focal_signal_retained,2161,138,1956,127,12,2,2,False
2,DRIAMS-D,Staphylococcus aureus,Clindamycin,0.695956,,,0.597864,0.615385,,,0.864849,0.615385,,,0.615385,65,,,,0.166667,caution_low_n_matched_and_low_pairwise,caution_low_matched_support,108,40,18,13,1,2,2,False
2,DRIAMS-D,Staphylococcus aureus,Erythromycin,0.572875,,,0.301613,0.552562,,,0.256365,0.528028,,,0.532691,154123,,,,0.962536,interpretable,weak_raw_signal,1735,344,1670,304,8,2,2,False
2,DRIAMS-D,Staphylococcus aureus,Gentamicin,0.53284,,,0.0205662,0.574181,,,0.0267876,0.485543,,,0.534134,5244,,,,0.753932,interpretable,weak_raw_signal,2162,25,1630,21,6,2,2,False
2,DRIAMS-D,Staphylococcus aureus,Penicillin,0.602131,,,0.917923,0.596298,,,0.913193,0.597018,,,0.601695,86622,,,,0.964052,interpretable,partially_retained_or_uncertain,1530,1344,1475,1291,9,2,2,False
3,A-2018,Staphylococcus aureus,Ciprofloxacin,0.721608,,,0.424265,0.732238,,,0.439392,0.670416,,,0.665526,11684,,,,0.857143,interpretable,focal_signal_retained,1183,155,1014,125,12,3,3,False
3,A-2018,Staphylococcus aureus,Clindamycin,0.568608,,,0.184421,0.584564,,,0.269949,0.50024,,,0.407818,7035,,,,0.749126,interpretable,weak_raw_signal,1144,149,857,112,8,3,3,False
3,A-2018,Staphylococcus aureus,Erythromycin,0.591863,,,0.238672,0.536956,,,0.134647,0.490138,,,0.591272,8387,,,,0.834495,interpretable,weak_raw_signal,1148,181,958,103,9,3,3,False
3,A-2018,Staphylococcus aureus,Fusidic acid,0.570416,,,0.096779,0.576615,,,0.140976,0.521387,,,0.484645,13416,,,,0.755738,interpretable,weak_raw_signal,1220,71,922,57,8,3,3,False
3,A-2018,Staphylococcus aureus,Gentamicin,0.689534,,,0.144613,0.770227,,,0.12044,0.504216,,,0.550027,1829,,,,0.517597,interpretable,background_driven_collapse,1165,28,603,17,5,3,3,False
3,A-2018,Staphylococcus aureus,Oxacillin,0.794721,,,0.649424,0.788229,,,0.693573,0.690489,,,0.690221,32110,,,,0.600816,interpretable,focal_signal_retained,1225,178,736,155,9,3,3,False
3,A-2018,Staphylococcus aureus,Penicillin,0.640891,,,0.830264,0.598101,,,0.733835,0.596414,,,0.59282,110634,,,,0.777778,interpretable,partially_retained_or_uncertain,1134,812,882,579,8,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.683673,,,0.212321,0.638258,,,0.18546,0.638258,,,0.638258,528,,,,0.532738,interpretable,focal_signal_retained,336,14,179,3,1,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Clindamycin,0.564178,,,0.183126,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,3,3,False
