sensitivity_threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
2,A-2018,Staphylococcus aureus,Ciprofloxacin,0.765865,,,0.512545,0.772304,,,0.530945,0.712739,,,0.735224,11742,,,,0.89011,interpretable,focal_signal_retained,1183,155,1053,137,17,2,2,False
2,A-2018,Staphylococcus aureus,Clindamycin,0.588432,,,0.226873,0.602253,,,0.246599,0.489205,,,0.42986,7093,,,,0.77972,interpretable,weak_raw_signal,1144,149,892,129,11,2,2,False
2,A-2018,Staphylococcus aureus,Erythromycin,0.607152,,,0.260039,0.581466,,,0.189695,0.471973,,,0.480052,8447,,,,0.867596,interpretable,background_driven_collapse,1148,181,996,116,13,2,2,False
2,A-2018,Staphylococcus aureus,Fusidic acid,0.621753,,,0.0955449,0.634656,,,0.115395,0.606971,,,0.65219,13562,,,,0.822131,interpretable,focal_signal_retained,1220,71,1003,65,12,2,2,False
2,A-2018,Staphylococcus aureus,Gentamicin,0.643705,,,0.0559667,0.665395,,,0.0902202,0.518328,,,0.511666,1843,,,,0.525322,interpretable,background_driven_collapse,1165,28,612,19,6,2,2,False
2,A-2018,Staphylococcus aureus,Oxacillin,0.839466,,,0.67368,0.838295,,,0.726395,0.734202,,,0.791112,32132,,,,0.613061,interpretable,focal_signal_retained,1225,178,751,159,11,2,2,False
2,A-2018,Staphylococcus aureus,Penicillin,0.729213,,,0.86921,0.711992,,,0.820423,0.716031,,,0.712326,110660,,,,0.794533,interpretable,focal_signal_retained,1134,812,901,591,11,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.627773,,,0.179266,0.710227,,,0.0416628,0.710227,,,0.710227,528,,,,0.532738,interpretable,focal_signal_retained,336,14,179,3,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Clindamycin,0.612584,,,0.209856,0.318182,,,0.849067,0.318182,,,0.318182,22,,,,0.0373563,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,348,37,13,11,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Erythromycin,0.602793,,,0.171049,0.769231,,,0.0657328,0.769231,,,0.769231,182,,,,0.268012,caution_low_n_matched,caution_low_matched_support,347,38,93,2,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.558436,,,0.0704725,0.582421,,,0.0642456,0.546229,,,0.556082,1266,,,,0.82659,interpretable,weak_raw_signal,346,20,286,12,3,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Gentamicin,0.536765,,,0.0324534,0.468041,,,0.0669576,0.387629,,,0.354386,285,,,,0.293103,interpretable,weak_raw_signal,348,8,102,5,2,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Oxacillin,0.824762,,,0.392561,0.871212,,,0.564861,0.871212,,,0.871212,1056,,,,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Penicillin,0.658536,,,0.795148,0.655759,,,0.797231,0.655318,,,0.687739,16182,,,,0.862069,interpretable,focal_signal_retained,348,227,300,196,3,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.676682,,,0.166451,0.73399,,,0.20216,0.71234,,,0.615461,4010,,,,0.861789,interpretable,focal_signal_retained,738,33,636,27,6,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.51611,,,0.180299,0.483709,,,0.129185,0.485321,,,0.514967,17238,,,,0.938556,interpretable,weak_raw_signal,651,79,611,66,4,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.596307,,,0.0498606,0.577694,,,0.0564003,0.582957,,,0.6221,3448,,,,0.840246,interpretable,weak_raw_signal,651,17,547,15,4,2,2,False
