site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
A-2018,Staphylococcus aureus,Ciprofloxacin,0.760738,0.713226,0.804666,0.512681,0.777404,0.723358,0.823975,0.529378,0.702911,0.643172,0.755665,0.666125,11684,0.00199601,0.495911,0.0275434,0.857143,interpretable,focal_signal_retained,1183,155,1014,125,12,3,3,False
A-2018,Staphylococcus aureus,Clindamycin,0.625962,0.573472,0.678075,0.23682,0.646093,0.593435,0.706965,0.267837,0.526846,0.46762,0.584072,0.421748,7035,0.157685,0.507336,0.0190878,0.749126,interpretable,background_driven_collapse,1144,149,857,112,8,3,3,False
A-2018,Staphylococcus aureus,Erythromycin,0.630668,0.580219,0.683196,0.285524,0.599569,0.532301,0.65636,0.186452,0.539817,0.478381,0.602109,0.485513,8387,0.0359281,0.49762,0.0232018,0.834495,interpretable,background_driven_collapse,1148,181,958,103,9,3,3,False
A-2018,Staphylococcus aureus,Fusidic acid,0.646576,0.598065,0.700419,0.10192,0.661434,0.593875,0.723851,0.104416,0.628557,0.562002,0.690002,0.64274,13416,0.00199601,0.505071,0.0384164,0.755738,interpretable,focal_signal_retained,1220,71,922,57,8,3,3,False
A-2018,Staphylococcus aureus,Gentamicin,0.765831,0.672661,0.855166,0.115957,0.816202,0.725126,0.901626,0.13434,0.659305,0.528499,0.772335,0.569163,1829,0.0199601,0.470736,0.084222,0.517597,interpretable,focal_signal_retained,1165,28,603,17,5,3,3,False
A-2018,Staphylococcus aureus,Oxacillin,0.838238,0.798716,0.87563,0.665199,0.831281,0.783599,0.874738,0.715239,0.762878,0.714345,0.807542,0.769511,32110,0.00199601,0.504161,0.0245022,0.600816,interpretable,focal_signal_retained,1225,178,736,155,9,3,3,False
A-2018,Staphylococcus aureus,Penicillin,0.626836,0.59399,0.658772,0.82444,0.568711,0.527003,0.610128,0.720302,0.568614,0.533735,0.60985,0.556429,110634,0.00199601,0.501711,0.0202327,0.777778,interpretable,partially_retained_or_uncertain,1134,812,882,579,8,3,3,False
DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.710736,0.570978,0.862353,0.24778,0.702652,0.40678,0.893258,0.0426758,0.702652,0.421348,0.898305,0.702652,528,0.141717,0.50467,0.164247,0.532738,interpretable,focal_signal_retained,336,14,179,3,1,3,3,False
DRIAMS-B,Staphylococcus aureus,Clindamycin,0.585904,0.484056,0.691566,0.169651,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,3,3,False
DRIAMS-B,Staphylococcus aureus,Erythromycin,0.605093,0.501192,0.705882,0.18753,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,347,38,0,0,0,3,3,False
DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.660429,0.542344,0.759146,0.103019,0.662295,0.499232,0.833333,0.179985,0.569945,0.414439,0.735169,0.588561,1084,0.203593,0.498729,0.0837877,0.557803,interpretable,partially_retained_or_uncertain,346,20,193,10,2,3,3,False
DRIAMS-B,Staphylococcus aureus,Gentamicin,0.580147,0.352187,0.845481,0.0676256,0.315018,0.173913,0.447222,0.030117,0.315018,0.182796,0.445652,0.315018,273,0.860279,0.513949,0.17466,0.270115,caution_low_n_matched,caution_low_matched_support,348,8,94,3,1,3,3,False
DRIAMS-B,Staphylococcus aureus,Oxacillin,0.775238,0.648791,0.877607,0.260976,0.863636,0.765152,0.944134,0.27763,0.863636,0.775141,0.948034,0.863636,1056,0.00399202,0.501805,0.124261,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,3,3,False
DRIAMS-B,Staphylococcus aureus,Penicillin,0.531911,0.464191,0.593802,0.668417,0.52678,0.459141,0.610156,0.657691,0.52678,0.457132,0.594704,0.532777,16170,0.231537,0.499598,0.0369702,0.83908,interpretable,weak_raw_signal,348,227,292,190,2,3,3,False
DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.576531,0.459102,0.6931,0.083435,0.634219,0.4961,0.77237,0.121089,0.590147,0.464983,0.70406,0.500757,3964,0.0858283,0.508583,0.0604285,0.825203,interpretable,weak_raw_signal,738,33,609,23,4,3,3,False
DRIAMS-C,Staphylococcus aureus,Clindamycin,0.529565,0.45178,0.601865,0.145691,0.518998,0.426161,0.604422,0.119667,0.51574,0.435506,0.593349,0.539055,17232,0.323353,0.498578,0.0380741,0.930876,interpretable,weak_raw_signal,651,79,606,64,3,3,3,False
DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.459733,0.325117,0.594304,0.024279,0.502715,0.361351,0.668462,0.0217892,0.504992,0.353209,0.652128,0.505845,3422,0.479042,0.504851,0.0874885,0.814132,interpretable,weak_raw_signal,651,17,530,11,2,3,3,False
DRIAMS-C,Staphylococcus aureus,Gentamicin,0.488704,0.348006,0.625962,0.0200927,0.599595,0.458899,0.731086,0.0269678,0.471779,0.305053,0.649438,0.44571,1317,0.744511,0.532107,0.0853102,0.607046,interpretable,weak_raw_signal,738,15,448,9,3,3,3,False
DRIAMS-C,Staphylococcus aureus,Oxacillin,0.725199,0.642542,0.800324,0.132116,0.703499,0.611478,0.788808,0.141011,0.699471,0.614684,0.781993,0.719428,8807,0.00199601,0.501824,0.0553168,0.596206,interpretable,focal_signal_retained,738,41,440,29,2,3,3,False
DRIAMS-C,Staphylococcus aureus,Penicillin,0.552208,0.499823,0.597873,0.776848,0.532645,0.484533,0.582332,0.742488,0.537408,0.488219,0.583553,0.533165,56189,0.0758483,0.50072,0.024245,0.915989,interpretable,weak_raw_signal,738,547,676,488,5,3,3,False
DRIAMS-D,Staphylococcus aureus,Ciprofloxacin,0.656042,0.608219,0.705155,0.191893,0.661259,0.603006,0.717907,0.200549,0.63711,0.578311,0.687222,0.66724,44741,0.00199601,0.49522,0.0275992,0.844054,interpretable,focal_signal_retained,2161,138,1824,117,7,3,3,False
