site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year,strongest_network_partner,partner_phi,partner_rr_lift
A-2018,Staphylococcus aureus,Ciprofloxacin,0.760738,0.714223,0.804108,0.512681,0.810087,0.749622,0.868548,0.555411,0.756671,0.690633,0.801966,0.669522,11090,0.00497512,0.521298,0.032858,0.731192,interpretable,focal_signal_retained,1183,155,865,78,4,10,10,False,Oxacillin,0.324788,4.00021
A-2018,Staphylococcus aureus,Clindamycin,0.625962,0.576123,0.678258,0.23682,0.474864,0.387285,0.565458,0.074468,0.474864,0.384925,0.555035,0.398937,5081,0.751244,0.494713,0.0366168,0.457168,interpretable,background_driven_collapse,1144,149,523,37,2,10,10,False,Erythromycin,0.790504,5.29668
A-2018,Staphylococcus aureus,Erythromycin,0.630668,0.585541,0.683196,0.285524,0.546502,0.472155,0.62699,0.16245,0.534829,0.455907,0.614822,0.46213,6760,0.109453,0.496379,0.0309805,0.49216,interpretable,background_driven_collapse,1148,181,565,51,3,10,10,False,Clindamycin,0.790504,5.29668
A-2018,Staphylococcus aureus,Fusidic acid,0.646576,0.598708,0.697553,0.10192,0.640408,0.527542,0.751724,0.113736,0.640408,0.523888,0.725809,0.640408,10879,0.0248756,0.502503,0.0613382,0.406557,interpretable,focal_signal_retained,1220,71,496,23,1,10,10,False,Gentamicin,0.115334,4.44926
A-2018,Staphylococcus aureus,Gentamicin,0.765831,0.685364,0.849036,0.115957,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1165,28,0,0,0,10,10,False,Oxacillin,0.24996,5.79254
A-2018,Staphylococcus aureus,Oxacillin,0.838238,0.800307,0.87563,0.665199,0.830617,0.773537,0.884024,0.704078,0.766214,0.719189,0.818599,0.769309,31657,0.00497512,0.511667,0.0279213,0.512653,interpretable,focal_signal_retained,1225,178,628,116,3,10,10,False,Ciprofloxacin,0.324788,4.00021
A-2018,Staphylococcus aureus,Penicillin,0.626836,0.59493,0.659106,0.82444,0.572195,0.529853,0.615453,0.719642,0.577308,0.533074,0.623613,0.556686,110256,0.00497512,0.501282,0.0240436,0.694004,interpretable,partially_retained_or_uncertain,1134,812,787,512,3,10,10,False,Oxacillin,0.218309,1.40025
DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.710736,0.561876,0.869727,0.24778,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,336,14,0,0,0,10,10,False,Oxacillin,0.324788,4.00021
DRIAMS-B,Staphylococcus aureus,Clindamycin,0.585904,0.484056,0.676096,0.169651,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,10,10,False,Erythromycin,0.790504,5.29668
DRIAMS-B,Staphylococcus aureus,Erythromycin,0.605093,0.501192,0.705967,0.18753,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,347,38,0,0,0,10,10,False,Clindamycin,0.790504,5.29668
