sensitivity_threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
2,A-2018,Staphylococcus aureus,Ciprofloxacin,0.760738,,,0.512681,0.756239,,,0.510983,0.67672,,,0.664367,11742,,,,0.89011,interpretable,focal_signal_retained,1183,155,1053,137,17,2,2,False
2,A-2018,Staphylococcus aureus,Clindamycin,0.625962,,,0.23682,0.63699,,,0.278389,0.527101,,,0.424221,7093,,,,0.77972,interpretable,background_driven_collapse,1144,149,892,129,11,2,2,False
2,A-2018,Staphylococcus aureus,Erythromycin,0.630668,,,0.285524,0.592849,,,0.188502,0.539459,,,0.485616,8447,,,,0.867596,interpretable,background_driven_collapse,1148,181,996,116,13,2,2,False
2,A-2018,Staphylococcus aureus,Fusidic acid,0.646576,,,0.10192,0.648335,,,0.114886,0.605544,,,0.63936,13562,,,,0.822131,interpretable,focal_signal_retained,1220,71,1003,65,12,2,2,False
2,A-2018,Staphylococcus aureus,Gentamicin,0.765831,,,0.115957,0.762492,,,0.124615,0.640366,,,0.56701,1843,,,,0.525322,interpretable,focal_signal_retained,1165,28,612,19,6,2,2,False
2,A-2018,Staphylococcus aureus,Oxacillin,0.838238,,,0.665199,0.828967,,,0.708615,0.762005,,,0.769358,32132,,,,0.613061,interpretable,focal_signal_retained,1225,178,751,159,11,2,2,False
2,A-2018,Staphylococcus aureus,Penicillin,0.626836,,,0.82444,0.563736,,,0.714878,0.565084,,,0.556398,110660,,,,0.794533,interpretable,partially_retained_or_uncertain,1134,812,901,591,11,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.710736,,,0.24778,0.702652,,,0.0426758,0.702652,,,0.702652,528,,,,0.532738,interpretable,focal_signal_retained,336,14,179,3,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Clindamycin,0.585904,,,0.169651,0.363636,,,0.867248,0.363636,,,0.363636,22,,,,0.0373563,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,348,37,13,11,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Erythromycin,0.605093,,,0.18753,0.835165,,,0.10989,0.835165,,,0.835165,182,,,,0.268012,caution_low_n_matched,caution_low_matched_support,347,38,93,2,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.660429,,,0.103019,0.614659,,,0.0969896,0.540754,,,0.561611,1266,,,,0.82659,interpretable,background_driven_collapse,346,20,286,12,3,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Gentamicin,0.580147,,,0.0676256,0.56701,,,0.18322,0.498969,,,0.333333,285,,,,0.293103,interpretable,weak_raw_signal,348,8,102,5,2,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Oxacillin,0.775238,,,0.260976,0.863636,,,0.27763,0.863636,,,0.863636,1056,,,,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,2,2,False
2,DRIAMS-B,Staphylococcus aureus,Penicillin,0.531911,,,0.668417,0.52811,,,0.660659,0.529974,,,0.532876,16182,,,,0.862069,interpretable,weak_raw_signal,348,227,300,196,3,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.576531,,,0.083435,0.610594,,,0.11637,0.583774,,,0.499751,4010,,,,0.861789,interpretable,weak_raw_signal,738,33,636,27,6,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.529565,,,0.145691,0.517098,,,0.122941,0.513483,,,0.539042,17238,,,,0.938556,interpretable,weak_raw_signal,651,79,611,66,4,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.459733,,,0.024279,0.479825,,,0.0267398,0.475313,,,0.50493,3448,,,,0.840246,interpretable,weak_raw_signal,651,17,547,15,4,2,2,False
2,DRIAMS-C,Staphylococcus aureus,Gentamicin,0.488704,,,0.0200927,0.562988,,,0.0276747,0.457214,,,0.443647,1393,,,,0.661247,interpretable,weak_raw_signal,738,15,488,11,4,2,2,False
