site,drug,n_known,n_resistant,prevalence
A-2018,Oxacillin,1225,178,0.145306
A-2018,Penicillin,1134,812,0.716049
A-2018,Ciprofloxacin,1183,155,0.131023
A-2018,Erythromycin,1148,181,0.157666
A-2018,Clindamycin,1144,149,0.130245
A-2018,Gentamicin,1165,28,0.0240343
A-2018,Fusidic acid,1220,71,0.0581967
ALL,Oxacillin,2309,240,0.103941
ALL,Penicillin,3750,2930,0.781333
ALL,Ciprofloxacin,4418,340,0.0769579
ALL,Erythromycin,3230,563,0.174303
ALL,Clindamycin,2251,305,0.135495
ALL,Gentamicin,4413,76,0.0172218
ALL,Fusidic acid,2217,108,0.0487145
DRIAMS-B,Oxacillin,346,21,0.0606936
DRIAMS-B,Penicillin,348,227,0.652299
DRIAMS-B,Ciprofloxacin,336,14,0.0416667
DRIAMS-B,Erythromycin,347,38,0.10951
DRIAMS-B,Clindamycin,348,37,0.106322
DRIAMS-B,Gentamicin,348,8,0.0229885
DRIAMS-B,Fusidic acid,346,20,0.0578035
DRIAMS-C,Oxacillin,738,41,0.0555556
DRIAMS-C,Penicillin,738,547,0.741192
DRIAMS-C,Ciprofloxacin,738,33,0.0447154
DRIAMS-C,Clindamycin,651,79,0.121352
DRIAMS-C,Gentamicin,738,15,0.0203252
DRIAMS-C,Fusidic acid,651,17,0.0261137
DRIAMS-D,Penicillin,1530,1344,0.878431
DRIAMS-D,Ciprofloxacin,2161,138,0.0638593
DRIAMS-D,Erythromycin,1735,344,0.198271
DRIAMS-D,Clindamycin,108,40,0.37037
DRIAMS-D,Gentamicin,2162,25,0.0115634
