TGNR	code	run_accession	sample_accession	experiment_accession	inferred_year	has_medianpeaks	csv_file_count
128632-18	00c840a8-307e-4674-81a8-e5eec61f1a1a	ERR10176733	SAMEA111330995	ERX9713202	2018	True	4
128541-18	0236c894-3603-446f-9506-8ea17536a92f	ERR10176732	SAMEA111330994	ERX9713201	2018	True	4
128541-18	04c4067f-41b0-40e7-973f-9a15cd6543be	ERR10176732	SAMEA111330994	ERX9713201	2018	True	4
712328-18	06a59d8b-4a93-477f-85fc-04dc31a433aa	ERR10177102	SAMEA111331374	ERX9713571	2018	True	4
127083-18	09015c6a-b078-40c3-995b-4a19d66e5b59	ERR10176725	SAMEA111330987	ERX9713194	2018	True	4
131185-18	0b69ceff-22fe-45c9-bb07-6f3381b1ecd4	ERR10176759	SAMEA111331021	ERX9713228	2018	True	0
128632-18	0f2a869a-1a76-4422-a9f7-1b796d7f43ca	ERR10176733	SAMEA111330995	ERX9713202	2018	True	4
714049-18	143923ed-c622-47db-9362-93073f4c27ef	ERR10177173	SAMEA111331445	ERX9713642	2018	True	0
130260-18	1b760d16-e87a-48af-85a1-776315eb95df	ERR10176742	SAMEA111331004	ERX9713211	2018	True	0
128541-18	22e02337-473d-4904-bb88-df7eacf8f348	ERR10176732	SAMEA111330994	ERX9713201	2018	True	4
130912-18	257f4abf-620b-4746-8070-21eec4e656a8	ERR10176756	SAMEA111331018	ERX9713225	2018	True	0
128541-18	27fc99dc-a467-4fcc-9d2d-16848d5eeb3e	ERR10176732	SAMEA111330994	ERX9713201	2018	True	4
127354-18	29c387b2-4f70-4323-ae84-8a880b22ca07	ERR10176727	SAMEA111330989	ERX9713196	2018	True	4
130059-18	2ba3fa3a-5673-47bc-b6da-848b92ff118c	ERR10176739	SAMEA111331001	ERX9713208	2018	True	4
713900-18	2e8c2eb0-5136-4952-87ce-efd76778bba3	ERR10177161	SAMEA111331433	ERX9713630	2018	True	0
129950-18	2f012e12-f5b3-48af-b4aa-d515ad972a3e	ERR10176738	SAMEA111331000	ERX9713207	2018	True	4
129347-18	34018c93-4cd8-417b-a845-870265362a74	ERR10176736	SAMEA111330998	ERX9713205	2018	True	4
131615-18	34686be1-98f5-44a9-9ddd-63fd380c4dfb	ERR10176765	SAMEA111331027	ERX9713234	2018	True	0
131615-18	34e9b51e-ced5-4e64-8055-e9f2add1acce	ERR10176765	SAMEA111331027	ERX9713234	2018	True	0
713999-18	3641df55-d1b2-4015-a657-3b348d09e468	ERR10177171	SAMEA111331443	ERX9713640	2018	True	0
130949-18	3708bf82-c39d-44d0-bcae-d7796d47e4c7	ERR10176757	SAMEA111331019	ERX9713226	2018	True	0
131676-18	37542279-a906-4b25-b209-d07d62b4e8bc	ERR10176766	SAMEA111331028	ERX9713235	2018	True	0
130059-18	39da9a20-6694-4283-9ff1-6a3f1ef20ead	ERR10176739	SAMEA111331001	ERX9713208	2018	True	4
130912-18	3ab9d352-fa23-4331-8d26-bc0e3f8e8db4	ERR10176756	SAMEA111331018	ERX9713225	2018	True	0
131676-18	41294e7c-d687-41fd-80b1-909ec6bc8ff0	ERR10176766	SAMEA111331028	ERX9713235	2018	True	0
