site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.461905,0.284848,0.640476,0.332308,0.485507,0.16,0.816667,0.278655,0.485507,0.179487,0.8,0.485507,138,0.540918,0.499232,0.136689,0.674419,caution_low_n_matched,caution_low_matched_support,43,15,29,6,1,3,3,False
DRIAMS-B,Escherichia coli,Cefepime,0.676471,0.491935,0.853846,0.389173,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,43,9,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Ceftazidime,0.434641,0.235714,0.663636,0.199661,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,43,9,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Ceftriaxone,0.683007,0.492857,0.842342,0.32139,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,43,9,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Ciprofloxacin,0.75,0.521505,0.951282,0.730957,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,43,12,0,0,0,3,3,False
DRIAMS-B,Escherichia coli,Norfloxacin,0.666667,0.457386,0.836364,0.606295,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,43,15,0,0,0,3,3,False
DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.626248,0.517876,0.735105,0.348135,0.592727,0.442545,0.723214,0.283127,0.578182,0.435264,0.716049,0.560129,1239,0.0339321,0.459846,0.0650616,0.745856,interpretable,partially_retained_or_uncertain,181,46,135,25,3,3,3,False
DRIAMS-C,Escherichia coli,Cefepime,0.4748,0.306931,0.651127,0.251667,0.2,0,0.666667,0.40129,0.2,0,0.6,0.2,20,0.946108,0.5063,0.201784,0.072,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,125,25,9,4,1,3,3,False
DRIAMS-C,Escherichia coli,Ceftazidime,0.533139,0.424595,0.654044,0.177814,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,183,29,0,0,0,3,3,False
DRIAMS-C,Escherichia coli,Ceftriaxone,0.644589,0.507958,0.752772,0.367206,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,184,30,0,0,0,3,3,False
DRIAMS-C,Escherichia coli,Ciprofloxacin,0.625,0.528465,0.734503,0.406828,0.829412,0.678068,0.956164,0.562572,0.816176,0.618357,0.956164,0.821429,420,0.00199601,0.511338,0.0974086,0.438202,caution_low_n_matched,caution_low_matched_support,178,38,78,10,2,3,3,False
DRIAMS-C,Escherichia coli,Norfloxacin,0.694154,0.518903,0.833039,0.564089,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,90,25,0,0,0,3,3,False
DRIAMS-D,Escherichia coli,Amoxicillin-Clavulanic acid,0.652425,0.585317,0.720842,0.234838,0.67672,0.610523,0.750799,0.225589,0.524015,0.424792,0.626572,0.630646,8523,0.0139721,0.441498,0.0412448,0.924812,interpretable,background_driven_collapse,399,66,369,54,3,3,3,False
DRIAMS-D,Escherichia coli,Cefepime,0.622082,0.540663,0.69644,0.0964631,0.5625,0,1,0.684524,0.5625,0.0666667,1,0.5625,16,0.417166,0.48525,0.214839,0.02,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,400,31,8,4,1,3,3,False
DRIAMS-D,Escherichia coli,Ceftazidime,0.653278,0.562674,0.740087,0.141054,0.625817,0.465152,0.797297,0.405839,0.388889,0.194139,0.584211,0.587065,201,0.327345,0.359534,0.0650859,0.132832,caution_low_n_matched,caution_low_matched_support,399,37,53,17,2,3,3,False
DRIAMS-D,Escherichia coli,Ceftriaxone,0.627507,0.536658,0.713661,0.145341,0.650641,0.409357,0.869919,0.280428,0.612179,0.314286,0.869919,0.783069,189,0.0698603,0.441506,0.118209,0.117794,caution_low_n_matched,caution_low_matched_support,399,40,47,8,2,3,3,False
DRIAMS-D,Escherichia coli,Ciprofloxacin,0.667111,0.594955,0.739246,0.298162,0.615377,0.524262,0.703148,0.216233,0.619607,0.527597,0.708448,0.632287,8663,0.00199601,0.504279,0.0401298,0.914948,interpretable,focal_signal_retained,388,74,355,50,3,3,3,False
