site,drug,stratum_type,stratum_value,n,n_r,n_s,auc,mean_prob_r,mean_prob_s,adequacy_label,interpretation
A-2018,Amox-Clav,background_resistance_burden,0,948,171,777,0.534121,0.418615,0.406944,interpretable,weak_or_reversed_in_stratum
A-2018,Amox-Clav,background_resistance_burden,1,153,67,86,0.483686,0.575575,0.583175,interpretable,weak_or_reversed_in_stratum
A-2018,Amox-Clav,background_resistance_burden,2,149,54,95,0.618908,0.672308,0.599159,interpretable,signal_retained_in_stratum
A-2018,Amox-Clav,background_resistance_burden,3,64,46,18,0.585749,0.653587,0.601954,interpretable,borderline_in_stratum
A-2018,Amox-Clav,background_resistance_burden,4,43,37,6,0.54955,0.716514,0.705011,interpretable,weak_or_reversed_in_stratum
A-2018,Amox-Clav,background_resistance_burden,5,10,8,2,0.5625,0.58816,0.664613,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,background_resistance_burden_bin,multi,266,145,121,0.612938,0.673006,0.605905,interpretable,signal_retained_in_stratum
A-2018,Amox-Clav,background_resistance_burden_bin,none,946,171,775,0.535212,0.418615,0.406398,interpretable,weak_or_reversed_in_stratum
A-2018,Amox-Clav,background_resistance_burden_bin,single,153,67,86,0.483686,0.575575,0.583175,interpretable,weak_or_reversed_in_stratum
A-2018,Amox-Clav,background_resistance_burden_bin,unknown,2,0,2,,,0.61867,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,10,8,2,0.5625,0.58816,0.664613,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,8,7,1,0.142857,0.656908,0.732002,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=S,4,4,0,,0.463553,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,2,2,0,,0.367738,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,0,2,,,0.489643,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,8,3,5,0.6,0.561985,0.50192,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,51,15,36,0.65,0.552495,0.486208,interpretable,signal_retained_in_stratum
