site,drug,period,n_periods_observed,n,n_r,prevalence,auc,brier,expected_calibration_error,mean_background_resistant_count,support_label,reliability_status,recommended_action
A-2018,Amox-Clav,2018,1,1367,383,0.280176,0.650345,0.229865,0.194027,0.632772,adequate,insufficient_periods,collect_future_periods
A-2018,FEP,2018,1,1230,65,0.0528455,0.866636,0.0701507,0.121275,0.633333,adequate,insufficient_periods,collect_future_periods
A-2018,CAZ,2018,1,1257,120,0.0954654,0.837782,0.101364,0.127086,0.696102,adequate,insufficient_periods,collect_future_periods
A-2018,CRO,2018,1,1390,258,0.185612,0.863259,0.130287,0.144403,0.721583,adequate,insufficient_periods,collect_future_periods
A-2018,Cipro,2018,1,1350,355,0.262963,0.822524,0.170743,0.15456,0.642963,adequate,insufficient_periods,collect_future_periods
A-2018,Norflox,2018,1,439,87,0.198178,0.742588,0.193551,0.176794,0.587699,adequate,insufficient_periods,collect_future_periods
DRIAMS-B,Amox-Clav,2018,1,198,61,0.308081,0.694268,0.224354,0.178064,1.28788,adequate,insufficient_periods,collect_future_periods
DRIAMS-B,FEP,2018,1,213,43,0.201878,0.753215,0.142801,0.0725795,1.30516,adequate,insufficient_periods,collect_future_periods
DRIAMS-B,CAZ,2018,1,213,45,0.211268,0.734921,0.148506,0.0758478,1.29577,adequate,insufficient_periods,collect_future_periods
DRIAMS-B,CRO,2018,1,213,45,0.211268,0.743122,0.166101,0.117021,1.29577,adequate,insufficient_periods,collect_future_periods
DRIAMS-B,Cipro,2018,1,212,58,0.273585,0.773735,0.192311,0.161604,1.21698,adequate,insufficient_periods,collect_future_periods
DRIAMS-B,Norflox,2018,1,210,69,0.328571,0.702642,0.227658,0.178222,1.2,adequate,insufficient_periods,collect_future_periods
DRIAMS-C,Amox-Clav,2018,1,902,230,0.254989,0.535443,0.264539,0.246496,0.782705,adequate,insufficient_periods,collect_future_periods
DRIAMS-C,FEP,2018,1,609,113,0.18555,0.648248,0.174554,0.132302,1.03448,adequate,insufficient_periods,collect_future_periods
DRIAMS-C,CAZ,2018,1,908,139,0.153084,0.609256,0.180103,0.161441,0.859031,adequate,insufficient_periods,collect_future_periods
DRIAMS-C,CRO,2018,1,913,148,0.162103,0.6233,0.214529,0.228773,0.852136,adequate,insufficient_periods,collect_future_periods
DRIAMS-C,Cipro,2018,1,886,188,0.21219,0.749893,0.216062,0.232564,0.837472,adequate,insufficient_periods,collect_future_periods
DRIAMS-C,Norflox,2018,1,442,118,0.266968,0.778693,0.214624,0.213054,1.12896,adequate,insufficient_periods,collect_future_periods
DRIAMS-D,Amox-Clav,2018,1,1994,332,0.166499,0.556721,0.25949,0.332923,0.414744,adequate,insufficient_periods,collect_future_periods
DRIAMS-D,FEP,2018,1,1923,80,0.0416017,0.768753,0.107226,0.182867,0.454498,adequate,insufficient_periods,collect_future_periods
DRIAMS-D,CAZ,2018,1,1987,178,0.0895823,0.727374,0.13533,0.170718,0.48465,adequate,insufficient_periods,collect_future_periods
DRIAMS-D,CRO,2018,1,1994,198,0.0992979,0.72581,0.173565,0.23415,0.47994,adequate,insufficient_periods,collect_future_periods
DRIAMS-D,Cipro,2018,1,1939,371,0.191336,0.670566,0.24009,0.25987,0.380609,adequate,insufficient_periods,collect_future_periods
