site,drug,n,n_r,observed_auc,background_burden_auc,observed_minus_burden_auc,score_background_burden_correlation,shuffle_null_mean_auc,observed_minus_shuffle_null_auc,shuffle_empirical_p_ge_observed,adequacy_label,control_interpretation
A-2018,Amox-Clav,1367,383,0.650345,0.687527,-0.0371811,0.538958,0.629179,0.0211667,0.0299401,interpretable,background_control_competitive
A-2018,FEP,1230,65,0.866636,0.984979,-0.118343,0.487774,0.83629,0.0303462,0.00199601,interpretable,background_control_competitive
A-2018,CAZ,1257,120,0.837782,0.938471,-0.100689,0.533418,0.842299,-0.00451642,0.770459,interpretable,background_control_competitive
A-2018,CRO,1390,258,0.863259,0.87355,-0.0102908,0.470352,0.854241,0.00901813,0.0279441,interpretable,background_control_competitive
A-2018,Cipro,1350,355,0.822524,0.826067,-0.00354307,0.427355,0.727688,0.0948361,0.00199601,interpretable,score_exceeds_shuffle_but_burden_competitive
A-2018,Norflox,439,87,0.742588,0.956194,-0.213607,0.329834,0.742588,-8.77076e-15,1.0,interpretable,background_control_competitive
DRIAMS-B,Amox-Clav,198,61,0.694268,0.861912,-0.167644,0.44068,0.678175,0.0160931,0.245509,interpretable,background_control_competitive
DRIAMS-B,FEP,213,43,0.753215,0.997127,-0.243912,0.433772,0.747393,0.00582189,0.313373,interpretable,background_control_competitive
DRIAMS-B,CAZ,213,45,0.734921,0.996693,-0.261772,0.44366,0.734921,4.21885e-15,1.0,interpretable,background_control_competitive
DRIAMS-B,CRO,213,45,0.743122,0.996693,-0.253571,0.450881,0.743122,8.65974e-15,1.0,interpretable,background_control_competitive
DRIAMS-B,Cipro,212,58,0.773735,0.944749,-0.171014,0.403259,0.736648,0.0370867,0.0179641,interpretable,background_control_competitive
DRIAMS-B,Norflox,210,69,0.702642,0.917874,-0.215233,0.388331,0.717306,-0.014664,0.788423,interpretable,background_control_competitive
DRIAMS-C,Amox-Clav,902,230,0.535443,0.687616,-0.152174,0.292804,0.543858,-0.00841588,0.682635,interpretable,background_control_competitive
DRIAMS-C,FEP,609,113,0.648248,0.931353,-0.283106,0.255846,0.64811,0.000137596,0.506986,interpretable,background_control_competitive
DRIAMS-C,CAZ,908,139,0.609256,0.945393,-0.336137,0.299468,0.613608,-0.00435137,0.708583,interpretable,background_control_competitive
DRIAMS-C,CRO,913,148,0.6233,0.934036,-0.310736,0.284277,0.610634,0.0126661,0.0518962,interpretable,background_control_competitive
DRIAMS-C,Cipro,886,188,0.749893,0.847676,-0.0977832,0.248176,0.699779,0.0501141,0.00199601,interpretable,score_exceeds_shuffle_but_burden_competitive
DRIAMS-C,Norflox,442,118,0.778693,0.878832,-0.100139,0.289247,0.778693,6.21725e-15,1.0,interpretable,background_control_competitive
DRIAMS-D,Amox-Clav,1994,332,0.556721,0.692509,-0.135788,0.301619,0.576391,-0.01967,0.906188,interpretable,background_control_competitive
DRIAMS-D,FEP,1923,80,0.768753,0.97988,-0.211127,0.241628,0.746937,0.0218168,0.0878244,interpretable,background_control_competitive
DRIAMS-D,CAZ,1987,178,0.727374,0.957587,-0.230213,0.259331,0.699673,0.0277018,0.00598802,interpretable,background_control_competitive
DRIAMS-D,CRO,1994,198,0.72581,0.927069,-0.201258,0.258837,0.707109,0.0187016,0.011976,interpretable,background_control_competitive
DRIAMS-D,Cipro,1939,371,0.670566,0.725009,-0.054443,0.239049,0.585287,0.085279,0.00199601,interpretable,score_exceeds_shuffle_but_burden_competitive
