site,drug,cnn_raw_auc,cnn_centered_auc,cnn_raw_minus_centered,cnn_retention,cnn_adequacy,lgbm_raw_auc,lgbm_centered_auc,lgbm_raw_minus_centered,lgbm_retention,lgbm_adequacy,model_family_consensus
A-2018,Amox-Clav,0.65,0.541,0.109,0.922,interpretable,0.635,0.482,0.153,0.922,interpretable,collapses after matching
A-2018,FEP,0.867,0.659,0.208,0.06,caution_low_n_matched_and_low_retention,0.886,0.539,0.347,0.06,caution_low_n_matched_and_low_retention,model-dependent / mixed
A-2018,CAZ,0.838,0.367,0.471,0.037,caution_low_n_matched_and_low_retention,0.806,0.342,0.465,0.037,caution_low_n_matched_and_low_retention,low support
A-2018,CRO,0.863,0.645,0.218,0.109,interpretable,0.854,0.726,0.129,0.109,interpretable,survives background matching
A-2018,Cipro,0.823,0.703,0.12,0.619,interpretable,0.828,0.64,0.188,0.619,interpretable,survives background matching
A-2018,Norflox,0.743,,,0.0,not_interpretable_no_valid_strata,0.744,,,0.0,not_interpretable_no_valid_strata,not matched
DRIAMS-B,Amox-Clav,0.694,0.576,0.118,0.621,interpretable,0.749,0.642,0.107,0.621,interpretable,residual signal in both models
DRIAMS-B,FEP,0.753,,,0.0,not_interpretable_no_valid_strata,0.844,,,0.0,not_interpretable_no_valid_strata,not matched
DRIAMS-B,CAZ,0.735,,,0.0,not_interpretable_no_valid_strata,0.802,,,0.0,not_interpretable_no_valid_strata,not matched
DRIAMS-B,CRO,0.743,,,0.0,not_interpretable_no_valid_strata,0.816,,,0.0,not_interpretable_no_valid_strata,not matched
DRIAMS-B,Cipro,0.774,0.86,-0.086,0.118,caution_low_n_matched,0.816,0.51,0.306,0.118,caution_low_n_matched,model-dependent / mixed
DRIAMS-B,Norflox,0.703,0.343,0.36,0.543,interpretable,0.763,0.628,0.136,0.543,interpretable,model-dependent / mixed
DRIAMS-C,Amox-Clav,0.535,0.497,0.038,0.892,interpretable,0.593,0.518,0.074,0.892,interpretable,collapses after matching
DRIAMS-C,FEP,0.648,0.394,0.254,0.077,caution_low_n_matched_and_low_retention,0.684,0.336,0.348,0.077,caution_low_n_matched_and_low_retention,low support
DRIAMS-C,CAZ,0.609,0.503,0.107,0.075,caution_low_n_matched_and_low_retention,0.637,0.246,0.391,0.075,caution_low_n_matched_and_low_retention,low support
DRIAMS-C,CRO,0.623,0.727,-0.104,0.036,caution_low_n_matched_and_low_retention,0.659,0.718,-0.058,0.036,caution_low_n_matched_and_low_retention,"suggestive, low support"
DRIAMS-C,Cipro,0.75,0.646,0.104,0.476,interpretable,0.814,0.637,0.177,0.476,interpretable,survives background matching
DRIAMS-C,Norflox,0.779,,,0.0,not_interpretable_no_valid_strata,0.837,,,0.0,not_interpretable_no_valid_strata,not matched
DRIAMS-D,Amox-Clav,0.557,0.486,0.07,0.974,interpretable,0.58,0.449,0.131,0.974,interpretable,collapses after matching
DRIAMS-D,FEP,0.769,0.605,0.164,0.049,caution_low_n_matched_and_low_retention,0.812,0.557,0.254,0.049,caution_low_n_matched_and_low_retention,model-dependent / mixed
DRIAMS-D,CAZ,0.727,0.581,0.146,0.834,interpretable,0.757,0.438,0.32,0.834,interpretable,model-dependent / mixed
DRIAMS-D,CRO,0.726,0.592,0.133,0.822,interpretable,0.75,0.52,0.23,0.822,interpretable,model-dependent / mixed
DRIAMS-D,Cipro,0.671,0.596,0.075,0.984,interpretable,0.723,0.576,0.147,0.984,interpretable,partial/weak residual signal
