site,drug_a,drug_b,n_both_known,n_rr,rr_lift,phi,resistant_jaccard
ALL,Cipro,Norflox,1090,263,3.99267,0.975562,0.96337
ALL,CRO,CAZ,4349,446,7.84082,0.883538,0.810909
ALL,CAZ,FEP,3907,271,10.2122,0.827912,0.718833
ALL,CRO,FEP,3956,283,9.39376,0.803566,0.680288
ALL,Norflox,FEP,771,89,2.9082,0.479034,0.39207
ALL,Cipro,CRO,4371,437,3.22292,0.478556,0.381993
ALL,Norflox,CRO,1079,123,2.55865,0.41936,0.361765
ALL,Cipro,FEP,3873,222,3.98808,0.414441,0.273063
ALL,Cipro,CAZ,4246,310,3.26275,0.402416,0.30185
ALL,Amox-Clav,CAZ,4304,318,3.01416,0.378758,0.287004
ALL,Norflox,CAZ,1068,101,2.54526,0.372007,0.313665
ALL,Amox-Clav,CRO,4439,369,2.5398,0.342398,0.288958
ALL,Norflox,Amox-Clav,1072,137,1.99978,0.338251,0.338272
ALL,Amox-Clav,FEP,3917,209,3.17731,0.332196,0.220464
ALL,Cipro,Amox-Clav,4336,439,2.03996,0.298095,0.294039
