site,block,mean_auc,mean_aupr,mean_sens,mean_spec,n_pairs,n,n_r,source_auc,source_aupr,auc_source_delta,aupr_source_delta
A-2018,ESBL/AmpC cephalosporin block,0.863,0.562,0.6715,0.8225000000000001,3,3877,443,0.863,0.5617,0.0,0.0
A-2018,Fluoroquinolone block,0.8,0.62,0.7899,0.59985,2,1789,442,0.7998000000000001,0.6195999999999999,0.0,0.0
A-2018,Heterogeneous inhibitor beta-lactam,0.65,0.442,0.5144,0.6982,1,1367,383,0.6504,0.4425,0.0,0.0
DRIAMS-B,ESBL/AmpC cephalosporin block,0.787,0.533,0.4849666666666667,0.7897666666666666,3,639,133,0.863,0.5617,-0.076,-0.029
DRIAMS-B,Fluoroquinolone block,0.763,0.64,0.7902499999999999,0.50625,2,422,127,0.7998000000000001,0.6195999999999999,-0.036,0.02
DRIAMS-B,Heterogeneous inhibitor beta-lactam,0.724,0.534,0.6721,0.6496,1,198,61,0.6504,0.4425,0.073,0.092
DRIAMS-C,ESBL/AmpC cephalosporin block,0.647,0.311,0.3711333333333333,0.7624333333333334,3,2430,400,0.863,0.5617,-0.216,-0.251
DRIAMS-C,Fluoroquinolone block,0.771,0.634,0.8180499999999999,0.4780999999999999,2,1328,306,0.7998000000000001,0.6195999999999999,-0.029,0.014
DRIAMS-C,Heterogeneous inhibitor beta-lactam,0.542,0.302,0.4957,0.5774,1,902,230,0.6504,0.4425,-0.108,-0.141
DRIAMS-D,ESBL/AmpC cephalosporin block,0.763,0.361,0.5267333333333334,0.7851666666666667,3,5904,456,0.863,0.5617,-0.1,-0.201
DRIAMS-D,Fluoroquinolone block,0.68,0.39,0.8302,0.345,1,1939,371,0.7998000000000001,0.6195999999999999,-0.119,-0.229
DRIAMS-D,Heterogeneous inhibitor beta-lactam,0.556,0.255,0.494,0.5836,1,1994,332,0.6504,0.4425,-0.094,-0.188
