TGNR	has_bruker_maldi	code_count	codes	has_medianpeaks	csv_file_count	run_accession	sample_accession	experiment_accession	inferred_year	phylogroup	phylogroup_rough	best_mash_dist	ST	is_ST131	one_representative_per_case	papG_variant	amr_gene_count	amr_genes	amr_products	vitek_CIP_result	vitek_CTR_result	vitek_MER_result	vitek_NFT_result	vitek_FOT_result	mic_vitek_CIP	mic_vitek_CTR	mic_vitek_MER	mic_vitek_NFT	mic_vitek_FOT	etest_CIP_result	etest_CTR_result	mic_etest_CIP	mic_etest_CTR
100033-19	True	0		True	4	ERR10176577	SAMEA111330839	ERX9713046	2019	B2-2	B2	0.0109093	95	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
100080-19	True	0		True	4	ERR10176578	SAMEA111330840	ERX9713047	2019	D3	D	0.0156702	362	False	True	no papG	2	blaEC-8;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
100223-19	True	0		True	4	ERR10176579	SAMEA111330841	ERX9713048	2019	B2-2	B2	0.00273129	73	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
100676-19	True	0		True	4	ERR10176580	SAMEA111330842	ERX9713049	2019	B1	B1	0.00892796	654	False	True	no papG	2	blaEC-18;tet(A)	class C extended-spectrum beta-lactamase EC-18;tetracycline efflux MFS transporter Tet(A)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
100738-19	True	0		True	4	ERR10176581	SAMEA111330843	ERX9713050	2019	B2-2	B2	0.0113796	95	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
100888-20	False	0		False	0	ERR10176582	SAMEA111330844	ERX9713051	2020	B2-2	B2	0.00242492	73	False	True	no papG_papGII	2	blaEC-5;blaTEM-1	cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A broad-spectrum beta-lactamase TEM-1	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
100914-20	False	0		False	0	ERR10176583	SAMEA111330845	ERX9713052	2020	B2-2	B2	0.00107069	73*	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
100921-20	False	0		False	0	ERR10176584	SAMEA111330846	ERX9713053	2020	B2-2	B2	0.00107069	73*	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
100977-19	True	0		True	4	ERR10176585	SAMEA111330847	ERX9713054	2019	B2-2	B2	0.0115447	95	False	True	no papG_papGII	6	aph(3'')-Ib;aph(6)-Id;blaEC-5;blaTEM-1;sul2;tet(34)	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A broad-spectrum beta-lactamase TEM-1;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
101099-19	True	0		True	4	ERR10176586	SAMEA111330848	ERX9713055	2019	B2-2	B2	0.0112555	5484	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
102689-19	True	0		True	4	ERR10176587	SAMEA111330849	ERX9713056	2019	B2-2	B2	0.00911391	12	False	True	no papG_papGIII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
102832-19	True	0		True	4	ERR10176588	SAMEA111330850	ERX9713057	2019	B2-2	B2	0.0101752	95	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
102916-19	True	0		True	4	ERR10176589	SAMEA111330851	ERX9713058	2019	C	C	0.00689233	367	False	True	no papG_papGV	9	aadA1;ant(2'')-Ia;blaEC-13;blaTEM-171;dfrA36;floR;qacEdelta1;sul1;sul2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;aminoglycoside nucleotidyltransferase ANT(2'')-Ia;chloramphenicol/florfenicol efflux MFS transporter FloR;class A beta-lactamase TEM-171;class C extended-spectrum beta-lactamase EC-13;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;trimethoprim-resistant dihydrofolate reductase DfrA36	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
103140-20	False	0		False	0	ERR10176590	SAMEA111330852	ERX9713059	2020	B2-2	B2	0.0109789	95	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
103514-20	False	0		False	0	ERR10176591	SAMEA111330853	ERX9713060	2020	D1	D	0.00341063	69	False	True	no papG_papGII	3	blaCTX-M-15;blaEC-8;qnrS1	cephalosporin-hydrolyzing class C beta-lactamase EC-8;class A extended-spectrum beta-lactamase CTX-M-15;quinolone resistance pentapeptide repeat protein QnrS1	sensibel	resistent	sensibel	NA	NA	<=0.25	=32	<=0.25	NA	NA	NA	NA	NA	NA
103713-49	False	0		False	0	ERR10176592	SAMEA111330854	ERX9713061		B1	B1	0.00468044	58	False	True	no papG	3	blaEC-18;tet(34);tet(B)	class C extended-spectrum beta-lactamase EC-18;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);tetracycline efflux MFS transporter Tet(B)														
103840-19	True	0		True	4	ERR10176593	SAMEA111330855	ERX9713062	2019	D1	D	0.00371142	69	False	True	no papG_papGIV	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
103864-19	True	0		True	4	ERR10176594	SAMEA111330856	ERX9713063	2019	B2-1	B2	0.00131939	131	True	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	resistent	resistent	sensibel	NA	NA	>=4	>=64	<=0.25	NA	NA	NA	NA	NA	NA
104005-19	True	0		True	4	ERR10176595	SAMEA111330857	ERX9713064	2019	B1	B1	0.00888469	162	False	True	no papG	2	blaEC-18;tet(34)	class C extended-spectrum beta-lactamase EC-18;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	resistent	sensibel	sensibel	NA	NA	=2	<=1	<=0.25	NA	NA	NA	NA	NA	NA
